"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - train_loss","raschka_cpu_Seed45887 - train_loss__MIN","raschka_cpu_Seed45887 - train_loss__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - train_loss","karpathy_cpu_Seed45887 - train_loss__MIN","karpathy_cpu_Seed45887 - train_loss__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - train_loss","raschka_cpu_Seed5678 - train_loss__MIN","raschka_cpu_Seed5678 - train_loss__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - train_loss","karpathy_cpu_Seed5678 - train_loss__MIN","karpathy_cpu_Seed5678 - train_loss__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - train_loss","karpathy_cpu_Seed123 - train_loss__MIN","karpathy_cpu_Seed123 - train_loss__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - train_loss","raschka_cpu_Seed123 - train_loss__MIN","raschka_cpu_Seed123 - train_loss__MAX"
"0","0","0","0","2.3157472133636476","2.3157472133636476","2.3157472133636476","1","1","1","2.403296709060669","2.403296709060669","2.403296709060669","0","0","0","2.3316291332244874","2.3316291332244874","2.3316291332244874","1","1","1","2.403296709060669","2.403296709060669","2.403296709060669","1","1","1","2.403296709060669","2.403296709060669","2.403296709060669","0","0","0","2.2791839599609376","2.2791839599609376","2.2791839599609376"
"200","1","1","1","1.7788152694702148","1.7788152694702148","1.7788152694702148","3","3","3","2.129098653793335","2.129098653793335","2.129098653793335","1","1","1","1.7758596897125245","1.7758596897125245","1.7758596897125245","3","3","3","2.1059274673461914","2.1059274673461914","2.1059274673461914","3","3","3","1.8950750827789307","1.8950750827789307","1.8950750827789307","1","1","1","1.6485229015350342","1.6485229015350342","1.6485229015350342"
"400","2","2","2","1.724540400505066","1.724540400505066","1.724540400505066","5","5","5","1.8488487005233765","1.8488487005233765","1.8488487005233765","2","2","2","1.6950363159179687","1.6950363159179687","1.6950363159179687","5","5","5","1.828572392463684","1.828572392463684","1.828572392463684","5","5","5","1.9697214365005493","1.9697214365005493","1.9697214365005493","2","2","2","1.7081581592559814","1.7081581592559814","1.7081581592559814"
"600","3","3","3","1.5517295360565186","1.5517295360565186","1.5517295360565186","7","7","7","1.621503233909607","1.621503233909607","1.621503233909607","3","3","3","1.6230624675750733","1.6230624675750733","1.6230624675750733","7","7","7","1.602622628211975","1.602622628211975","1.602622628211975","7","7","7","1.7432266473770142","1.7432266473770142","1.7432266473770142","3","3","3","1.5593051195144654","1.5593051195144654","1.5593051195144654"
"800","4","4","4","1.5487860679626464","1.5487860679626464","1.5487860679626464","9","9","9","1.7537267208099365","1.7537267208099365","1.7537267208099365","4","4","4","1.5230547189712524","1.5230547189712524","1.5230547189712524","9","9","9","1.7394083738327026","1.7394083738327026","1.7394083738327026","9","9","9","1.6348133087158203","1.6348133087158203","1.6348133087158203","4","4","4","1.538642168045044","1.538642168045044","1.538642168045044"
"1000","5","5","5","1.6244331836700439","1.6244331836700439","1.6244331836700439","11","11","11","1.5297902822494507","1.5297902822494507","1.5297902822494507","5","5","5","1.5777857780456543","1.5777857780456543","1.5777857780456543","11","11","11","1.5138943195343018","1.5138943195343018","1.5138943195343018","11","11","11","1.663689136505127","1.663689136505127","1.663689136505127","5","5","5","1.6209384679794312","1.6209384679794312","1.6209384679794312"
"1200","6","6","6","1.4661931276321412","1.4661931276321412","1.4661931276321412","13","13","13","1.8188247680664062","1.8188247680664062","1.8188247680664062","6","6","6","1.5873633861541747","1.5873633861541747","1.5873633861541747","13","13","13","1.8063238859176636","1.8063238859176636","1.8063238859176636","13","13","13","1.6220364570617676","1.6220364570617676","1.6220364570617676","6","6","6","1.4568257331848145","1.4568257331848145","1.4568257331848145"
"1400","7","7","7","1.3933093786239623","1.3933093786239623","1.3933093786239623","15","15","15","1.5904227495193481","1.5904227495193481","1.5904227495193481","7","7","7","1.616614007949829","1.616614007949829","1.616614007949829","15","15","15","1.578840970993042","1.578840970993042","1.578840970993042","15","15","15","1.5838699340820312","1.5838699340820312","1.5838699340820312","7","7","7","1.4792657852172852","1.4792657852172852","1.4792657852172852"
"1600","8","8","8","1.512589931488037","1.512589931488037","1.512589931488037","17","17","17","1.5629467964172363","1.5629467964172363","1.5629467964172363","8","8","8","1.4705853700637816","1.4705853700637816","1.4705853700637816","17","17","17","1.5528899431228638","1.5528899431228638","1.5528899431228638","17","17","17","1.5780754089355469","1.5780754089355469","1.5780754089355469","8","8","8","1.569435477256775","1.569435477256775","1.569435477256775"
"1800","9","9","9","1.5291295289993285","1.5291295289993285","1.5291295289993285","19","19","19","1.5370944738388062","1.5370944738388062","1.5370944738388062","9","9","9","1.5242271423339844","1.5242271423339844","1.5242271423339844","19","19","19","1.5287117958068848","1.5287117958068848","1.5287117958068848","19","19","19","1.7097243070602417","1.7097243070602417","1.7097243070602417","9","9","9","1.4840424537658692","1.4840424537658692","1.4840424537658692"
"2000","10","10","10","1.3366298913955688","1.3366298913955688","1.3366298913955688","21","21","21","1.4998747110366821","1.4998747110366821","1.4998747110366821","10","10","10","1.5356610059738158","1.5356610059738158","1.5356610059738158","21","21","21","1.4925440549850464","1.4925440549850464","1.4925440549850464","21","21","21","1.6197034120559692","1.6197034120559692","1.6197034120559692","10","10","10","1.4967337846755981","1.4967337846755981","1.4967337846755981"
"2200","11","11","11","1.4626285791397096","1.4626285791397096","1.4626285791397096","23","23","23","1.6844223737716675","1.6844223737716675","1.6844223737716675","11","11","11","1.5211637258529662","1.5211637258529662","1.5211637258529662","23","23","23","1.679646611213684","1.679646611213684","1.679646611213684","23","23","23","1.5810030698776245","1.5810030698776245","1.5810030698776245","11","11","11","1.4755659103393555","1.4755659103393555","1.4755659103393555"
"2400","12","12","12","1.4797423839569093","1.4797423839569093","1.4797423839569093","25","25","25","1.5004687309265137","1.5004687309265137","1.5004687309265137","12","12","12","1.5144691944122315","1.5144691944122315","1.5144691944122315","25","25","25","1.4958207607269287","1.4958207607269287","1.4958207607269287","25","25","25","1.5530369281768799","1.5530369281768799","1.5530369281768799","12","12","12","1.4242658376693726","1.4242658376693726","1.4242658376693726"
"2600","13","13","13","1.4674583435058595","1.4674583435058595","1.4674583435058595","27","27","27","1.5487648248672485","1.5487648248672485","1.5487648248672485","13","13","13","1.4973634719848632","1.4973634719848632","1.4973634719848632","27","27","27","1.5434867143630981","1.5434867143630981","1.5434867143630981","27","27","27","1.565130352973938","1.565130352973938","1.565130352973938","13","13","13","1.3819802522659301","1.3819802522659301","1.3819802522659301"
"2800","14","14","14","1.4240816593170167","1.4240816593170167","1.4240816593170167","29","29","29","1.5076528787612915","1.5076528787612915","1.5076528787612915","14","14","14","1.3915036201477051","1.3915036201477051","1.3915036201477051","29","29","29","1.5036368370056152","1.5036368370056152","1.5036368370056152","29","29","29","1.4784387350082397","1.4784387350082397","1.4784387350082397","14","14","14","1.5494779825210572","1.5494779825210572","1.5494779825210572"
"3000","15","15","15","1.526597762107849","1.526597762107849","1.526597762107849","31","31","31","1.5874611139297485","1.5874611139297485","1.5874611139297485","15","15","15","1.4212284564971924","1.4212284564971924","1.4212284564971924","31","31","31","1.5843067169189453","1.5843067169189453","1.5843067169189453","31","31","31","1.3478925228118896","1.3478925228118896","1.3478925228118896","15","15","15","1.3083034992218017","1.3083034992218017","1.3083034992218017"
"3200","16","16","16","1.3261721849441528","1.3261721849441528","1.3261721849441528","33","33","33","1.5084787607192993","1.5084787607192993","1.5084787607192993","16","16","16","1.3051255941390991","1.3051255941390991","1.3051255941390991","33","33","33","1.5026746988296509","1.5026746988296509","1.5026746988296509","33","33","33","1.6281672716140747","1.6281672716140747","1.6281672716140747","16","16","16","1.511631393432617","1.511631393432617","1.511631393432617"
"3400","17","17","17","1.3964599132537843","1.3964599132537843","1.3964599132537843","35","35","35","1.4771696329116821","1.4771696329116821","1.4771696329116821","17","17","17","1.3849111795425415","1.3849111795425415","1.3849111795425415","35","35","35","1.4673881530761719","1.4673881530761719","1.4673881530761719","35","35","35","1.3908748626708984","1.3908748626708984","1.3908748626708984","17","17","17","1.4799752235412598","1.4799752235412598","1.4799752235412598"
"3600","18","18","18","1.439260983467102","1.439260983467102","1.439260983467102","37","37","37","1.4892404079437256","1.4892404079437256","1.4892404079437256","18","18","18","1.4011362791061401","1.4011362791061401","1.4011362791061401","37","37","37","1.4778366088867188","1.4778366088867188","1.4778366088867188","37","37","37","1.4248595237731934","1.4248595237731934","1.4248595237731934","18","18","18","1.328354263305664","1.328354263305664","1.328354263305664"
"3800","19","19","19","1.3604496240615844","1.3604496240615844","1.3604496240615844","39","39","39","1.4263696670532227","1.4263696670532227","1.4263696670532227","19","19","19","1.4172706127166748","1.4172706127166748","1.4172706127166748","39","39","39","1.4120639562606812","1.4120639562606812","1.4120639562606812","39","39","39","1.31184983253479","1.31184983253479","1.31184983253479","19","19","19","1.3962738037109375","1.3962738037109375","1.3962738037109375"
"4000","20","20","20","1.3408236742019652","1.3408236742019652","1.3408236742019652","41","41","41","1.2693957090377808","1.2693957090377808","1.2693957090377808","20","20","20","1.3634823560714722","1.3634823560714722","1.3634823560714722","41","41","41","1.2639695405960083","1.2639695405960083","1.2639695405960083","41","41","41","1.4105844497680664","1.4105844497680664","1.4105844497680664","20","20","20","1.4456200838088988","1.4456200838088988","1.4456200838088988"
"4200","21","21","21","1.3531611442565918","1.3531611442565918","1.3531611442565918","43","43","43","1.540642261505127","1.540642261505127","1.540642261505127","21","21","21","1.4098946094512939","1.4098946094512939","1.4098946094512939","43","43","43","1.5368287563323975","1.5368287563323975","1.5368287563323975","43","43","43","1.3758512735366821","1.3758512735366821","1.3758512735366821","21","21","21","1.3695688486099242","1.3695688486099242","1.3695688486099242"
"4400","22","22","22","1.2987012147903443","1.2987012147903443","1.2987012147903443","45","45","45","1.404348373413086","1.404348373413086","1.404348373413086","22","22","22","1.3958388328552247","1.3958388328552247","1.3958388328552247","45","45","45","1.4008288383483887","1.4008288383483887","1.4008288383483887","45","45","45","1.37964928150177","1.37964928150177","1.37964928150177","22","22","22","1.4569098234176636","1.4569098234176636","1.4569098234176636"
"4600","23","23","23","1.4051056385040284","1.4051056385040284","1.4051056385040284","47","47","47","1.542387843132019","1.542387843132019","1.542387843132019","23","23","23","1.4409549951553344","1.4409549951553344","1.4409549951553344","47","47","47","1.5401240587234497","1.5401240587234497","1.5401240587234497","47","47","47","1.3903436660766602","1.3903436660766602","1.3903436660766602","23","23","23","1.3894323825836181","1.3894323825836181","1.3894323825836181"
"4800","24","24","24","1.3919480800628663","1.3919480800628663","1.3919480800628663","49","49","49","1.3474700450897217","1.3474700450897217","1.3474700450897217","24","24","24","1.4098686456680298","1.4098686456680298","1.4098686456680298","49","49","49","1.345731258392334","1.345731258392334","1.345731258392334","49","49","49","1.3583904504776","1.3583904504776","1.3583904504776","24","24","24","1.4086305141448974","1.4086305141448974","1.4086305141448974"
"5000","25","25","25","1.3469245672225951","1.3469245672225951","1.3469245672225951","51","51","51","1.4368425607681274","1.4368425607681274","1.4368425607681274","25","25","25","1.3805161476135255","1.3805161476135255","1.3805161476135255","51","51","51","1.4351251125335693","1.4351251125335693","1.4351251125335693","51","51","51","1.5201038122177124","1.5201038122177124","1.5201038122177124","25","25","25","1.424106812477112","1.424106812477112","1.424106812477112"
"5200","26","26","26","1.387637186050415","1.387637186050415","1.387637186050415","53","53","53","1.424191951751709","1.424191951751709","1.424191951751709","26","26","26","1.2873906135559081","1.2873906135559081","1.2873906135559081","53","53","53","1.4233664274215698","1.4233664274215698","1.4233664274215698","53","53","53","1.3097667694091797","1.3097667694091797","1.3097667694091797","26","26","26","1.4878103733062744","1.4878103733062744","1.4878103733062744"
"5400","27","27","27","1.3732881546020508","1.3732881546020508","1.3732881546020508","55","55","55","1.3080217838287354","1.3080217838287354","1.3080217838287354","27","27","27","1.3584026098251343","1.3584026098251343","1.3584026098251343","55","55","55","1.3069169521331787","1.3069169521331787","1.3069169521331787","55","55","55","1.3265656232833862","1.3265656232833862","1.3265656232833862","27","27","27","1.385089921951294","1.385089921951294","1.385089921951294"
"5600","28","28","28","1.264858078956604","1.264858078956604","1.264858078956604","57","57","57","1.3556270599365234","1.3556270599365234","1.3556270599365234","28","28","28","1.3427240610122682","1.3427240610122682","1.3427240610122682","57","57","57","1.3548988103866577","1.3548988103866577","1.3548988103866577","57","57","57","1.2598146200180054","1.2598146200180054","1.2598146200180054","28","28","28","1.3481434345245362","1.3481434345245362","1.3481434345245362"
"5800","29","29","29","1.3217997789382934","1.3217997789382934","1.3217997789382934","59","59","59","1.2576813697814941","1.2576813697814941","1.2576813697814941","29","29","29","1.3012430667877197","1.3012430667877197","1.3012430667877197","59","59","59","1.2573199272155762","1.2573199272155762","1.2573199272155762","59","59","59","1.3183830976486206","1.3183830976486206","1.3183830976486206","29","29","29","1.240082335472107","1.240082335472107","1.240082335472107"
"6000","30","30","30","1.4038196563720704","1.4038196563720704","1.4038196563720704","61","61","61","1.5375089645385742","1.5375089645385742","1.5375089645385742","30","30","30","1.4493440866470337","1.4493440866470337","1.4493440866470337","61","61","61","1.5373071432113647","1.5373071432113647","1.5373071432113647","61","61","61","1.415143370628357","1.415143370628357","1.415143370628357","30","30","30","1.369006633758545","1.369006633758545","1.369006633758545"
"6200","31","31","31","1.3867106199264527","1.3867106199264527","1.3867106199264527","63","63","63","1.323228120803833","1.323228120803833","1.323228120803833","31","31","31","1.3592429161071777","1.3592429161071777","1.3592429161071777","63","63","63","1.3216688632965088","1.3216688632965088","1.3216688632965088","63","63","63","1.271891474723816","1.271891474723816","1.271891474723816","31","31","31","1.3569274187088012","1.3569274187088012","1.3569274187088012"
"6400","32","32","32","1.4688214302062987","1.4688214302062987","1.4688214302062987","65","65","65","1.3069713115692139","1.3069713115692139","1.3069713115692139","32","32","32","1.2754637241363525","1.2754637241363525","1.2754637241363525","65","65","65","1.3025974035263062","1.3025974035263062","1.3025974035263062","65","65","65","1.207174301147461","1.207174301147461","1.207174301147461","32","32","32","1.3369287967681884","1.3369287967681884","1.3369287967681884"
"6600","33","33","33","1.405171275138855","1.405171275138855","1.405171275138855","67","67","67","1.320515751838684","1.320515751838684","1.320515751838684","33","33","33","1.2484753131866455","1.2484753131866455","1.2484753131866455","67","67","67","1.3109441995620728","1.3109441995620728","1.3109441995620728","67","67","67","1.382533311843872","1.382533311843872","1.382533311843872","33","33","33","1.3781576871871948","1.3781576871871948","1.3781576871871948"
"6800","34","34","34","1.3465506315231324","1.3465506315231324","1.3465506315231324","69","69","69","1.4317234754562378","1.4317234754562378","1.4317234754562378","34","34","34","1.3728439569473267","1.3728439569473267","1.3728439569473267","69","69","69","1.4202508926391602","1.4202508926391602","1.4202508926391602","69","69","69","1.3068782091140747","1.3068782091140747","1.3068782091140747","34","34","34","1.2803187131881715","1.2803187131881715","1.2803187131881715"
"7000","35","35","35","1.388405203819275","1.388405203819275","1.388405203819275","71","71","71","1.4085367918014526","1.4085367918014526","1.4085367918014526","35","35","35","1.3555163621902466","1.3555163621902466","1.3555163621902466","71","71","71","1.4076173305511475","1.4076173305511475","1.4076173305511475","71","71","71","1.3355462551116943","1.3355462551116943","1.3355462551116943","35","35","35","1.4544693946838378","1.4544693946838378","1.4544693946838378"
"7200","36","36","36","1.382265305519104","1.382265305519104","1.382265305519104","73","73","73","1.3714874982833862","1.3714874982833862","1.3714874982833862","36","36","36","1.1940731287002564","1.1940731287002564","1.1940731287002564","73","73","73","1.3714245557785034","1.3714245557785034","1.3714245557785034","73","73","73","1.3457691669464111","1.3457691669464111","1.3457691669464111","36","36","36","1.3210360765457154","1.3210360765457154","1.3210360765457154"
"7400","37","37","37","1.2830837726593018","1.2830837726593018","1.2830837726593018","75","75","75","1.2467488050460815","1.2467488050460815","1.2467488050460815","37","37","37","1.3138847589492797","1.3138847589492797","1.3138847589492797","75","75","75","1.2462470531463623","1.2462470531463623","1.2462470531463623","75","75","75","1.5416312217712402","1.5416312217712402","1.5416312217712402","37","37","37","1.3441090822219848","1.3441090822219848","1.3441090822219848"
"7600","38","38","38","1.2268579483032227","1.2268579483032227","1.2268579483032227","77","77","77","1.365176796913147","1.365176796913147","1.365176796913147","38","38","38","1.4011995792388916","1.4011995792388916","1.4011995792388916","77","77","77","1.3647249937057495","1.3647249937057495","1.3647249937057495","77","77","77","1.3698490858078003","1.3698490858078003","1.3698490858078003","38","38","38","1.2584805965423584","1.2584805965423584","1.2584805965423584"
"7800","39","39","39","1.2227759599685668","1.2227759599685668","1.2227759599685668","79","79","79","1.2734341621398926","1.2734341621398926","1.2734341621398926","39","39","39","1.3443353414535522","1.3443353414535522","1.3443353414535522","79","79","79","1.2740591764450073","1.2740591764450073","1.2740591764450073","79","79","79","1.3305144309997559","1.3305144309997559","1.3305144309997559","39","39","39","1.2564417839050293","1.2564417839050293","1.2564417839050293"
"8000","40","40","40","1.3237026929855347","1.3237026929855347","1.3237026929855347","81","81","81","1.357224464416504","1.357224464416504","1.357224464416504","40","40","40","1.3217221021652221","1.3217221021652221","1.3217221021652221","81","81","81","1.3574522733688354","1.3574522733688354","1.3574522733688354","81","81","81","1.3913180828094482","1.3913180828094482","1.3913180828094482","40","40","40","1.415668535232544","1.415668535232544","1.415668535232544"
"8200","41","41","41","1.2916041374206544","1.2916041374206544","1.2916041374206544","83","83","83","1.2268264293670654","1.2268264293670654","1.2268264293670654","41","41","41","1.245662784576416","1.245662784576416","1.245662784576416","83","83","83","1.2278639078140259","1.2278639078140259","1.2278639078140259","83","83","83","1.2065223455429077","1.2065223455429077","1.2065223455429077","41","41","41","1.3434872150421142","1.3434872150421142","1.3434872150421142"
"8400","42","42","42","1.227957510948181","1.227957510948181","1.227957510948181","85","85","85","1.4046790599822998","1.4046790599822998","1.4046790599822998","42","42","42","1.267296266555786","1.267296266555786","1.267296266555786","85","85","85","1.4055161476135254","1.4055161476135254","1.4055161476135254","85","85","85","1.376253604888916","1.376253604888916","1.376253604888916","42","42","42","1.2531811952590943","1.2531811952590943","1.2531811952590943"
"8497","","","","","","","87","87","87","1.3089649677276611","1.3089649677276611","1.3089649677276611","","","","","","","87","87","87","1.3109972476959229","1.3109972476959229","1.3109972476959229","87","87","87","1.3629748821258545","1.3629748821258545","1.3629748821258545","","","","","",""