"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - train_perplexity","raschka_cpu_Seed45887 - train_perplexity__MIN","raschka_cpu_Seed45887 - train_perplexity__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - train_perplexity","karpathy_cpu_Seed45887 - train_perplexity__MIN","karpathy_cpu_Seed45887 - train_perplexity__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - train_perplexity","raschka_cpu_Seed5678 - train_perplexity__MIN","raschka_cpu_Seed5678 - train_perplexity__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - train_perplexity","karpathy_cpu_Seed5678 - train_perplexity__MIN","karpathy_cpu_Seed5678 - train_perplexity__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - train_perplexity","karpathy_cpu_Seed123 - train_perplexity__MIN","karpathy_cpu_Seed123 - train_perplexity__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - train_perplexity","raschka_cpu_Seed123 - train_perplexity__MIN","raschka_cpu_Seed123 - train_perplexity__MAX"
"0","0","0","0","10.132492065429688","10.132492065429688","10.132492065429688","1","1","1","11.059576988220215","11.059576988220215","11.059576988220215","0","0","0","10.294698715209961","10.294698715209961","10.294698715209961","1","1","1","11.059576988220215","11.059576988220215","11.059576988220215","1","1","1","11.059576988220215","11.059576988220215","11.059576988220215","0","0","0","9.768704414367676","9.768704414367676","9.768704414367676"
"200","1","1","1","5.922835350036621","5.922835350036621","5.922835350036621","3","3","3","8.407285690307617","8.407285690307617","8.407285690307617","1","1","1","5.905355930328369","5.905355930328369","5.905355930328369","3","3","3","8.21471881866455","8.21471881866455","8.21471881866455","3","3","3","6.653048038482666","6.653048038482666","6.653048038482666","1","1","1","5.199294090270996","5.199294090270996","5.199294090270996"
"400","2","2","2","5.6099419593811035","5.6099419593811035","5.6099419593811035","5","5","5","6.35250186920166","6.35250186920166","6.35250186920166","2","2","2","5.44684362411499","5.44684362411499","5.44684362411499","5","5","5","6.224993705749512","6.224993705749512","6.224993705749512","5","5","5","7.168679237365723","7.168679237365723","7.168679237365723","2","2","2","5.518787384033203","5.518787384033203","5.518787384033203"
"600","3","3","3","4.719625949859619","4.719625949859619","4.719625949859619","7","7","7","5.060691833496094","5.060691833496094","5.060691833496094","3","3","3","5.068589210510254","5.068589210510254","5.068589210510254","7","7","7","4.966039657592773","4.966039657592773","4.966039657592773","7","7","7","5.715756416320801","5.715756416320801","5.715756416320801","3","3","3","4.7555155754089355","4.7555155754089355","4.7555155754089355"
"800","4","4","4","4.705754280090332","4.705754280090332","4.705754280090332","9","9","9","5.776088714599609","5.776088714599609","5.776088714599609","4","4","4","4.5862135887146","4.5862135887146","4.5862135887146","9","9","9","5.693973541259766","5.693973541259766","5.693973541259766","9","9","9","5.128500461578369","5.128500461578369","5.128500461578369","4","4","4","4.658260822296143","4.658260822296143","4.658260822296143"
"1000","5","5","5","5.075541019439697","5.075541019439697","5.075541019439697","11","11","11","4.617208480834961","4.617208480834961","4.617208480834961","5","5","5","4.844217300415039","4.844217300415039","4.844217300415039","11","11","11","4.544393539428711","4.544393539428711","4.544393539428711","11","11","11","5.278748989105225","5.278748989105225","5.278748989105225","5","5","5","5.057834625244141","5.057834625244141","5.057834625244141"
"1200","6","6","6","4.332709312438965","4.332709312438965","4.332709312438965","13","13","13","6.164609432220459","6.164609432220459","6.164609432220459","6","6","6","4.890836715698242","4.890836715698242","4.890836715698242","13","13","13","6.08802604675293","6.08802604675293","6.08802604675293","13","13","13","5.063391208648682","5.063391208648682","5.063391208648682","6","6","6","4.292313098907471","4.292313098907471","4.292313098907471"
"1400","7","7","7","4.028158664703369","4.028158664703369","4.028158664703369","15","15","15","4.905822277069092","4.905822277069092","4.905822277069092","7","7","7","5.036009311676025","5.036009311676025","5.036009311676025","15","15","15","4.849331855773926","4.849331855773926","4.849331855773926","15","15","15","4.873780727386475","4.873780727386475","4.873780727386475","7","7","7","4.389721393585205","4.389721393585205","4.389721393585205"
"1600","8","8","8","4.5384697914123535","4.5384697914123535","4.5384697914123535","17","17","17","4.772865295410156","4.772865295410156","4.772865295410156","8","8","8","4.351781845092773","4.351781845092773","4.351781845092773","17","17","17","4.7251057624816895","4.7251057624816895","4.7251057624816895","17","17","17","4.845621109008789","4.845621109008789","4.845621109008789","8","8","8","4.803935527801514","4.803935527801514","4.803935527801514"
"1800","9","9","9","4.614158630371094","4.614158630371094","4.614158630371094","19","19","19","4.65105676651001","4.65105676651001","4.65105676651001","9","9","9","4.5915937423706055","4.5915937423706055","4.5915937423706055","19","19","19","4.612231731414795","4.612231731414795","4.612231731414795","19","19","19","5.527437210083008","5.527437210083008","5.527437210083008","9","9","9","4.410739898681641","4.410739898681641","4.410739898681641"
"2000","10","10","10","3.806194543838501","3.806194543838501","3.806194543838501","21","21","21","4.481127738952637","4.481127738952637","4.481127738952637","10","10","10","4.644394397735596","4.644394397735596","4.644394397735596","21","21","21","4.448398113250732","4.448398113250732","4.448398113250732","21","21","21","5.051591873168945","5.051591873168945","5.051591873168945","10","10","10","4.467074871063232","4.467074871063232","4.467074871063232"
"2200","11","11","11","4.317293167114258","4.317293167114258","4.317293167114258","23","23","23","5.389337062835693","5.389337062835693","5.389337062835693","11","11","11","4.577548980712891","4.577548980712891","4.577548980712891","23","23","23","5.3636603355407715","5.3636603355407715","5.3636603355407715","23","23","23","4.859827995300293","4.859827995300293","4.859827995300293","11","11","11","4.373509883880615","4.373509883880615","4.373509883880615"
"2400","12","12","12","4.391814231872559","4.391814231872559","4.391814231872559","25","25","25","4.483790397644043","4.483790397644043","4.483790397644043","12","12","12","4.547006607055664","4.547006607055664","4.547006607055664","25","25","25","4.462997913360596","4.462997913360596","4.462997913360596","25","25","25","4.725800514221191","4.725800514221191","4.725800514221191","12","12","12","4.154806613922119","4.154806613922119","4.154806613922119"
"2600","13","13","13","4.338194847106934","4.338194847106934","4.338194847106934","27","27","27","4.705654144287109","4.705654144287109","4.705654144287109","13","13","13","4.469888210296631","4.469888210296631","4.469888210296631","27","27","27","4.680882930755615","4.680882930755615","4.680882930755615","27","27","27","4.783298492431641","4.783298492431641","4.783298492431641","13","13","13","3.982780933380127","3.982780933380127","3.982780933380127"
"2800","14","14","14","4.154041290283203","4.154041290283203","4.154041290283203","29","29","29","4.51611852645874","4.51611852645874","4.51611852645874","14","14","14","4.020891189575195","4.020891189575195","4.020891189575195","29","29","29","4.49801778793335","4.49801778793335","4.49801778793335","29","29","29","4.386092662811279","4.386092662811279","4.386092662811279","14","14","14","4.709011077880859","4.709011077880859","4.709011077880859"
"3000","15","15","15","4.60249137878418","4.60249137878418","4.60249137878418","31","31","31","4.891314506530762","4.891314506530762","4.891314506530762","15","15","15","4.142205715179443","4.142205715179443","4.142205715179443","31","31","31","4.875909805297852","4.875909805297852","4.875909805297852","31","31","31","3.849304676055908","3.849304676055908","3.849304676055908","15","15","15","3.6998913288116455","3.6998913288116455","3.6998913288116455"
"3200","16","16","16","3.7665979862213135","3.7665979862213135","3.7665979862213135","33","33","33","4.51984977722168","4.51984977722168","4.51984977722168","16","16","16","3.688152313232422","3.688152313232422","3.688152313232422","33","33","33","4.493692398071289","4.493692398071289","4.493692398071289","33","33","33","5.094529151916504","5.094529151916504","5.094529151916504","16","16","16","4.534121513366699","4.534121513366699","4.534121513366699"
"3400","17","17","17","4.04086971282959","4.04086971282959","4.04086971282959","35","35","35","4.380529403686523","4.380529403686523","4.380529403686523","17","17","17","3.9944710731506348","3.9944710731506348","3.9944710731506348","35","35","35","4.337890625","4.337890625","4.337890625","35","35","35","4.018363952636719","4.018363952636719","4.018363952636719","17","17","17","4.392837047576904","4.392837047576904","4.392837047576904"
"3600","18","18","18","4.217577934265137","4.217577934265137","4.217577934265137","37","37","37","4.4337263107299805","4.4337263107299805","4.4337263107299805","18","18","18","4.059810638427734","4.059810638427734","4.059810638427734","37","37","37","4.383452415466309","4.383452415466309","4.383452415466309","37","37","37","4.157273769378662","4.157273769378662","4.157273769378662","18","18","18","3.7748258113861084","3.7748258113861084","3.7748258113861084"
"3800","19","19","19","3.8979456424713135","3.8979456424713135","3.8979456424713135","39","39","39","4.1635565757751465","4.1635565757751465","4.1635565757751465","19","19","19","4.1258440017700195","4.1258440017700195","4.1258440017700195","39","39","39","4.10441780090332","4.10441780090332","4.10441780090332","39","39","39","3.713035821914673","3.713035821914673","3.713035821914673","19","19","19","4.0401177406311035","4.0401177406311035","4.0401177406311035"
"4000","20","20","20","3.822190284729004","3.822190284729004","3.822190284729004","41","41","41","3.558701515197754","3.558701515197754","3.558701515197754","20","20","20","3.9097847938537598","3.9097847938537598","3.9097847938537598","41","41","41","3.5394434928894043","3.5394434928894043","3.5394434928894043","41","41","41","4.0983500480651855","4.0983500480651855","4.0983500480651855","20","20","20","4.24448299407959","4.24448299407959","4.24448299407959"
"4200","21","21","21","3.869638442993164","3.869638442993164","3.869638442993164","43","43","43","4.6675872802734375","4.6675872802734375","4.6675872802734375","21","21","21","4.095523834228516","4.095523834228516","4.095523834228516","43","43","43","4.6498212814331055","4.6498212814331055","4.6498212814331055","43","43","43","3.9584450721740723","3.9584450721740723","3.9584450721740723","21","21","21","3.933654308319092","3.933654308319092","3.933654308319092"
"4400","22","22","22","3.664533853530884","3.664533853530884","3.664533853530884","45","45","45","4.072871685028076","4.072871685028076","4.072871685028076","22","22","22","4.038360595703125","4.038360595703125","4.038360595703125","45","45","45","4.058562278747559","4.058562278747559","4.058562278747559","45","45","45","3.973507881164551","3.973507881164551","3.973507881164551","22","22","22","4.292673587799072","4.292673587799072","4.292673587799072"
"4600","23","23","23","4.075957298278809","4.075957298278809","4.075957298278809","47","47","47","4.675741672515869","4.675741672515869","4.675741672515869","23","23","23","4.224728584289551","4.224728584289551","4.224728584289551","47","47","47","4.665168762207031","4.665168762207031","4.665168762207031","47","47","47","4.01623010635376","4.01623010635376","4.01623010635376","23","23","23","4.012571811676025","4.012571811676025","4.012571811676025"
"4800","24","24","24","4.022678852081299","4.022678852081299","4.022678852081299","49","49","49","3.8476786613464355","3.8476786613464355","3.8476786613464355","24","24","24","4.095417022705078","4.095417022705078","4.095417022705078","49","49","49","3.840994358062744","3.840994358062744","3.840994358062744","49","49","49","3.8899271488189697","3.8899271488189697","3.8899271488189697","24","24","24","4.0903496742248535","4.0903496742248535","4.0903496742248535"
"5000","25","25","25","3.8455803394317627","3.8455803394317627","3.8455803394317627","51","51","51","4.207390308380127","4.207390308380127","4.207390308380127","25","25","25","3.9769539833068848","3.9769539833068848","3.9769539833068848","51","51","51","4.200170516967773","4.200170516967773","4.200170516967773","51","51","51","4.572700023651123","4.572700023651123","4.572700023651123","25","25","25","4.15414571762085","4.15414571762085","4.15414571762085"
"5200","26","26","26","4.005374908447266","4.005374908447266","4.005374908447266","53","53","53","4.154499530792236","4.154499530792236","4.154499530792236","26","26","26","3.623319387435913","3.623319387435913","3.623319387435913","53","53","53","4.151071071624756","4.151071071624756","4.151071071624756","53","53","53","3.7053093910217285","3.7053093910217285","3.7053093910217285","26","26","26","4.4273905754089355","4.4273905754089355","4.4273905754089355"
"5400","27","27","27","3.9483120441436768","3.9483120441436768","3.9483120441436768","55","55","55","3.6988494396209717","3.6988494396209717","3.6988494396209717","27","27","27","3.889974594116211","3.889974594116211","3.889974594116211","55","55","55","3.694765090942383","3.694765090942383","3.694765090942383","55","55","55","3.768080234527588","3.768080234527588","3.768080234527588","27","27","27","3.995184898376465","3.995184898376465","3.995184898376465"
"5600","28","28","28","3.5425901412963867","3.5425901412963867","3.5425901412963867","57","57","57","3.879192590713501","3.879192590713501","3.879192590713501","28","28","28","3.829461097717285","3.829461097717285","3.829461097717285","57","57","57","3.876368761062622","3.876368761062622","3.876368761062622","57","57","57","3.524768114089966","3.524768114089966","3.524768114089966","28","28","28","3.8502707481384277","3.8502707481384277","3.8502707481384277"
"5800","29","29","29","3.750164747238159","3.750164747238159","3.750164747238159","59","59","59","3.517256736755371","3.517256736755371","3.517256736755371","29","29","29","3.673860788345337","3.673860788345337","3.673860788345337","59","59","59","3.5159857273101807","3.5159857273101807","3.5159857273101807","59","59","59","3.7373735904693604","3.7373735904693604","3.7373735904693604","29","29","29","3.4558980464935303","3.4558980464935303","3.4558980464935303"
"6000","30","30","30","4.070719242095947","4.070719242095947","4.070719242095947","61","61","61","4.652985095977783","4.652985095977783","4.652985095977783","30","30","30","4.260319232940674","4.260319232940674","4.260319232940674","61","61","61","4.652046203613281","4.652046203613281","4.652046203613281","61","61","61","4.117076873779297","4.117076873779297","4.117076873779297","30","30","30","3.931443452835083","3.931443452835083","3.931443452835083"
"6200","31","31","31","4.0016655921936035","4.0016655921936035","4.0016655921936035","63","63","63","3.7555251121520996","3.7555251121520996","3.7555251121520996","31","31","31","3.893244743347168","3.893244743347168","3.893244743347168","63","63","63","3.749673843383789","3.749673843383789","3.749673843383789","63","63","63","3.567594289779663","3.567594289779663","3.567594289779663","31","31","31","3.88424015045166","3.88424015045166","3.88424015045166"
"6400","32","32","32","4.344112396240234","4.344112396240234","4.344112396240234","65","65","65","3.6949658393859863","3.6949658393859863","3.6949658393859863","32","32","32","3.5803613662719727","3.5803613662719727","3.5803613662719727","65","65","65","3.678839683532715","3.678839683532715","3.678839683532715","65","65","65","3.344022035598755","3.344022035598755","3.344022035598755","32","32","32","3.8073325157165527","3.8073325157165527","3.8073325157165527"
"6600","33","33","33","4.0762248039245605","4.0762248039245605","4.0762248039245605","67","67","67","3.7453525066375732","3.7453525066375732","3.7453525066375732","33","33","33","3.485025405883789","3.485025405883789","3.485025405883789","67","67","67","3.709674835205078","3.709674835205078","3.709674835205078","67","67","67","3.9849841594696045","3.9849841594696045","3.9849841594696045","33","33","33","3.967585563659668","3.967585563659668","3.967585563659668"
"6800","34","34","34","3.8441426753997803","3.8441426753997803","3.8441426753997803","69","69","69","4.185907363891602","4.185907363891602","4.185907363891602","34","34","34","3.946558713912964","3.946558713912964","3.946558713912964","69","69","69","4.138158321380615","4.138158321380615","4.138158321380615","69","69","69","3.6946218013763428","3.6946218013763428","3.6946218013763428","34","34","34","3.5977861881256104","3.5977861881256104","3.5977861881256104"
"7000","35","35","35","4.008452415466309","4.008452415466309","4.008452415466309","71","71","71","4.089966773986816","4.089966773986816","4.089966773986816","35","35","35","3.878763198852539","3.878763198852539","3.878763198852539","71","71","71","4.086207866668701","4.086207866668701","4.086207866668701","71","71","71","3.802072286605835","3.802072286605835","3.802072286605835","35","35","35","4.282210826873779","4.282210826873779","4.282210826873779"
"7200","36","36","36","3.9839162826538086","3.9839162826538086","3.9839162826538086","73","73","73","3.941208839416504","3.941208839416504","3.941208839416504","36","36","36","3.300497055053711","3.300497055053711","3.300497055053711","73","73","73","3.9409608840942383","3.9409608840942383","3.9409608840942383","73","73","73","3.841139793395996","3.841139793395996","3.841139793395996","36","36","36","3.7473020553588867","3.7473020553588867","3.7473020553588867"
"7400","37","37","37","3.607748031616211","3.607748031616211","3.607748031616211","75","75","75","3.479013681411743","3.479013681411743","3.479013681411743","37","37","37","3.7205991744995117","3.7205991744995117","3.7205991744995117","75","75","75","3.4772684574127197","3.4772684574127197","3.4772684574127197","75","75","75","4.672205448150635","4.672205448150635","4.672205448150635","37","37","37","3.834768533706665","3.834768533706665","3.834768533706665"
"7600","38","38","38","3.410496473312378","3.410496473312378","3.410496473312378","77","77","77","3.9164154529571533","3.9164154529571533","3.9164154529571533","38","38","38","4.060067653656006","4.060067653656006","4.060067653656006","77","77","77","3.9146463871002197","3.9146463871002197","3.9146463871002197","77","77","77","3.9347567558288574","3.9347567558288574","3.9347567558288574","38","38","38","3.520068883895874","3.520068883895874","3.520068883895874"
"7800","39","39","39","3.3966033458709717","3.3966033458709717","3.3966033458709717","79","79","79","3.5731022357940674","3.5731022357940674","3.5731022357940674","39","39","39","3.8356361389160156","3.8356361389160156","3.8356361389160156","79","79","79","3.57533597946167","3.57533597946167","3.57533597946167","79","79","79","3.782989025115967","3.782989025115967","3.782989025115967","39","39","39","3.51289963722229","3.51289963722229","3.51289963722229"
"8000","40","40","40","3.757307767868042","3.757307767868042","3.757307767868042","81","81","81","3.885394334793091","3.885394334793091","3.885394334793091","40","40","40","3.749873638153076","3.749873638153076","3.749873638153076","81","81","81","3.886279582977295","3.886279582977295","3.886279582977295","81","81","81","4.020145416259766","4.020145416259766","4.020145416259766","40","40","40","4.119239330291748","4.119239330291748","4.119239330291748"
"8200","41","41","41","3.6386187076568604","3.6386187076568604","3.6386187076568604","83","83","83","3.4103891849517822","3.4103891849517822","3.4103891849517822","41","41","41","3.4752373695373535","3.4752373695373535","3.4752373695373535","83","83","83","3.4139292240142822","3.4139292240142822","3.4139292240142822","83","83","83","3.3418426513671875","3.3418426513671875","3.3418426513671875","41","41","41","3.8323848247528076","3.8323848247528076","3.8323848247528076"
"8400","42","42","42","3.4142487049102783","3.4142487049102783","3.4142487049102783","85","85","85","4.07421875","4.07421875","4.07421875","42","42","42","3.5512380599975586","3.5512380599975586","3.5512380599975586","85","85","85","4.077630996704102","4.077630996704102","4.077630996704102","85","85","85","3.96003794670105","3.96003794670105","3.96003794670105","42","42","42","3.5014641284942627","3.5014641284942627","3.5014641284942627"
"8497","","","","","","","87","87","87","3.7023396492004395","3.7023396492004395","3.7023396492004395","","","","","","","87","87","87","3.709871530532837","3.709871530532837","3.709871530532837","87","87","87","3.907801389694214","3.907801389694214","3.907801389694214","","","","","",""