"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - grad_norm","raschka_cpu_Seed45887 - grad_norm__MIN","raschka_cpu_Seed45887 - grad_norm__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - grad_norm","karpathy_cpu_Seed45887 - grad_norm__MIN","karpathy_cpu_Seed45887 - grad_norm__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - grad_norm","raschka_cpu_Seed5678 - grad_norm__MIN","raschka_cpu_Seed5678 - grad_norm__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - grad_norm","karpathy_cpu_Seed5678 - grad_norm__MIN","karpathy_cpu_Seed5678 - grad_norm__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - grad_norm","karpathy_cpu_Seed123 - grad_norm__MIN","karpathy_cpu_Seed123 - grad_norm__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - grad_norm","raschka_cpu_Seed123 - grad_norm__MIN","raschka_cpu_Seed123 - grad_norm__MAX"
"0","0","0","0","0","0","0","1","1","1","7.132109642028809","7.132109642028809","7.132109642028809","0","0","0","0","0","0","1","1","1","7.132109642028809","7.132109642028809","7.132109642028809","1","1","1","7.132109642028809","7.132109642028809","7.132109642028809","0","0","0","0","0","0"
"200","1","1","1","0","0","0","3","3","3","5.1110453605651855","5.1110453605651855","5.1110453605651855","1","1","1","0","0","0","3","3","3","5.158820152282715","5.158820152282715","5.158820152282715","3","3","3","5.354757785797119","5.354757785797119","5.354757785797119","1","1","1","0","0","0"
"400","2","2","2","0","0","0","5","5","5","5.861169815063477","5.861169815063477","5.861169815063477","2","2","2","0","0","0","5","5","5","5.826548099517822","5.826548099517822","5.826548099517822","5","5","5","6.195037364959717","6.195037364959717","6.195037364959717","2","2","2","0","0","0"
"600","3","3","3","0","0","0","7","7","7","4.444535732269287","4.444535732269287","4.444535732269287","3","3","3","0","0","0","7","7","7","4.091001033782959","4.091001033782959","4.091001033782959","7","7","7","4.766870498657227","4.766870498657227","4.766870498657227","3","3","3","0","0","0"
"800","4","4","4","0","0","0","9","9","9","3.8558712005615234","3.8558712005615234","3.8558712005615234","4","4","4","4.598892688751221","4.598892688751221","4.598892688751221","9","9","9","3.262495756149292","3.262495756149292","3.262495756149292","9","9","9","3.5281155109405518","3.5281155109405518","3.5281155109405518","4","4","4","4.020260334014893","4.020260334014893","4.020260334014893"
"1000","5","5","5","4.304258346557617","4.304258346557617","4.304258346557617","11","11","11","2.846097469329834","2.846097469329834","2.846097469329834","5","5","5","3.832712173461914","3.832712173461914","3.832712173461914","11","11","11","2.394352912902832","2.394352912902832","2.394352912902832","11","11","11","2.388280153274536","2.388280153274536","2.388280153274536","5","5","5","4.098322868347168","4.098322868347168","4.098322868347168"
"1200","6","6","6","3.7357561588287354","3.7357561588287354","3.7357561588287354","13","13","13","2.1653664112091064","2.1653664112091064","2.1653664112091064","6","6","6","4.3824381828308105","4.3824381828308105","4.3824381828308105","13","13","13","1.9328628778457642","1.9328628778457642","1.9328628778457642","13","13","13","1.9357818365097046","1.9357818365097046","1.9357818365097046","6","6","6","3.74918270111084","3.74918270111084","3.74918270111084"
"1400","7","7","7","3.3922343254089355","3.3922343254089355","3.3922343254089355","15","15","15","1.7581613063812256","1.7581613063812256","1.7581613063812256","7","7","7","3.452422857284546","3.452422857284546","3.452422857284546","15","15","15","1.6213072538375854","1.6213072538375854","1.6213072538375854","15","15","15","1.6798491477966309","1.6798491477966309","1.6798491477966309","7","7","7","3.972790241241455","3.972790241241455","3.972790241241455"
"1600","8","8","8","4.243752956390381","4.243752956390381","4.243752956390381","17","17","17","1.550157904624939","1.550157904624939","1.550157904624939","8","8","8","4.2856059074401855","4.2856059074401855","4.2856059074401855","17","17","17","1.4723079204559326","1.4723079204559326","1.4723079204559326","17","17","17","1.5218864679336548","1.5218864679336548","1.5218864679336548","8","8","8","3.7532031536102295","3.7532031536102295","3.7532031536102295"
"1800","9","9","9","3.9907147884368896","3.9907147884368896","3.9907147884368896","19","19","19","1.4685169458389282","1.4685169458389282","1.4685169458389282","9","9","9","4.165005683898926","4.165005683898926","4.165005683898926","19","19","19","1.4340362548828125","1.4340362548828125","1.4340362548828125","19","19","19","1.4610059261322021","1.4610059261322021","1.4610059261322021","9","9","9","3.8530523777008057","3.8530523777008057","3.8530523777008057"
"2000","10","10","10","3.343587636947632","3.343587636947632","3.343587636947632","21","21","21","1.4608473777770996","1.4608473777770996","1.4608473777770996","10","10","10","3.496264934539795","3.496264934539795","3.496264934539795","21","21","21","1.441582441329956","1.441582441329956","1.441582441329956","21","21","21","1.4431716203689575","1.4431716203689575","1.4431716203689575","10","10","10","4.2154083251953125","4.2154083251953125","4.2154083251953125"
"2200","11","11","11","3.355184555053711","3.355184555053711","3.355184555053711","23","23","23","1.769242525100708","1.769242525100708","1.769242525100708","11","11","11","4.438599109649658","4.438599109649658","4.438599109649658","23","23","23","1.763925313949585","1.763925313949585","1.763925313949585","23","23","23","1.469419240951538","1.469419240951538","1.469419240951538","11","11","11","3.9105892181396484","3.9105892181396484","3.9105892181396484"
"2400","12","12","12","3.8475100994110107","3.8475100994110107","3.8475100994110107","25","25","25","1.3853408098220825","1.3853408098220825","1.3853408098220825","12","12","12","3.8852903842926025","3.8852903842926025","3.8852903842926025","25","25","25","1.3842984437942505","1.3842984437942505","1.3842984437942505","25","25","25","1.3477550745010376","1.3477550745010376","1.3477550745010376","12","12","12","3.866544008255005","3.866544008255005","3.866544008255005"
"2600","13","13","13","3.4412481784820557","3.4412481784820557","3.4412481784820557","27","27","27","1.4785927534103394","1.4785927534103394","1.4785927534103394","13","13","13","3.6070408821105957","3.6070408821105957","3.6070408821105957","27","27","27","1.4729684591293335","1.4729684591293335","1.4729684591293335","27","27","27","1.3979674577713013","1.3979674577713013","1.3979674577713013","13","13","13","3.713883638381958","3.713883638381958","3.713883638381958"
"2800","14","14","14","3.468214750289917","3.468214750289917","3.468214750289917","29","29","29","1.3202890157699585","1.3202890157699585","1.3202890157699585","14","14","14","3.9660041332244873","3.9660041332244873","3.9660041332244873","29","29","29","1.321820616722107","1.321820616722107","1.321820616722107","29","29","29","1.4711543321609497","1.4711543321609497","1.4711543321609497","14","14","14","3.8732542991638184","3.8732542991638184","3.8732542991638184"
"3000","15","15","15","3.9554038047790527","3.9554038047790527","3.9554038047790527","31","31","31","1.389418601989746","1.389418601989746","1.389418601989746","15","15","15","3.384953737258911","3.384953737258911","3.384953737258911","31","31","31","1.3869645595550537","1.3869645595550537","1.3869645595550537","31","31","31","1.2370632886886597","1.2370632886886597","1.2370632886886597","15","15","15","3.308922290802002","3.308922290802002","3.308922290802002"
"3200","16","16","16","3.304891586303711","3.304891586303711","3.304891586303711","33","33","33","1.4022079706192017","1.4022079706192017","1.4022079706192017","16","16","16","3.598689556121826","3.598689556121826","3.598689556121826","33","33","33","1.3930821418762207","1.3930821418762207","1.3930821418762207","33","33","33","1.3334687948226929","1.3334687948226929","1.3334687948226929","16","16","16","3.46357798576355","3.46357798576355","3.46357798576355"
"3400","17","17","17","3.23296856880188","3.23296856880188","3.23296856880188","35","35","35","1.3504232168197632","1.3504232168197632","1.3504232168197632","17","17","17","3.5446043014526367","3.5446043014526367","3.5446043014526367","35","35","35","1.3400202989578247","1.3400202989578247","1.3400202989578247","35","35","35","1.3999162912368774","1.3999162912368774","1.3999162912368774","17","17","17","3.446807861328125","3.446807861328125","3.446807861328125"
"3600","18","18","18","3.0819106101989746","3.0819106101989746","3.0819106101989746","37","37","37","1.3366434574127197","1.3366434574127197","1.3366434574127197","18","18","18","3.093777894973755","3.093777894973755","3.093777894973755","37","37","37","1.3341920375823975","1.3341920375823975","1.3341920375823975","37","37","37","1.4039076566696167","1.4039076566696167","1.4039076566696167","18","18","18","3.1124866008758545","3.1124866008758545","3.1124866008758545"
"3800","19","19","19","3.1069819927215576","3.1069819927215576","3.1069819927215576","39","39","39","1.3728985786437988","1.3728985786437988","1.3728985786437988","19","19","19","3.379537582397461","3.379537582397461","3.379537582397461","39","39","39","1.3675187826156616","1.3675187826156616","1.3675187826156616","39","39","39","1.2951593399047852","1.2951593399047852","1.2951593399047852","19","19","19","3.316654920578003","3.316654920578003","3.316654920578003"
"4000","20","20","20","3.06131911277771","3.06131911277771","3.06131911277771","41","41","41","1.2998465299606323","1.2998465299606323","1.2998465299606323","20","20","20","3.2998554706573486","3.2998554706573486","3.2998554706573486","41","41","41","1.2933486700057983","1.2933486700057983","1.2933486700057983","41","41","41","1.3977071046829224","1.3977071046829224","1.3977071046829224","20","20","20","3.56658935546875","3.56658935546875","3.56658935546875"
"4200","21","21","21","3.258375644683838","3.258375644683838","3.258375644683838","43","43","43","1.3242590427398682","1.3242590427398682","1.3242590427398682","21","21","21","3.5627143383026123","3.5627143383026123","3.5627143383026123","43","43","43","1.3245978355407715","1.3245978355407715","1.3245978355407715","43","43","43","1.3506731986999512","1.3506731986999512","1.3506731986999512","21","21","21","3.4368529319763184","3.4368529319763184","3.4368529319763184"
"4400","22","22","22","3.2584381103515625","3.2584381103515625","3.2584381103515625","45","45","45","1.4126554727554321","1.4126554727554321","1.4126554727554321","22","22","22","2.3873865604400635","2.3873865604400635","2.3873865604400635","45","45","45","1.407320261001587","1.407320261001587","1.407320261001587","45","45","45","1.338647723197937","1.338647723197937","1.338647723197937","22","22","22","3.067227602005005","3.067227602005005","3.067227602005005"
"4600","23","23","23","3.502666711807251","3.502666711807251","3.502666711807251","47","47","47","1.3678674697875977","1.3678674697875977","1.3678674697875977","23","23","23","3.099778652191162","3.099778652191162","3.099778652191162","47","47","47","1.3710453510284424","1.3710453510284424","1.3710453510284424","47","47","47","1.3756108283996582","1.3756108283996582","1.3756108283996582","23","23","23","2.9130587577819824","2.9130587577819824","2.9130587577819824"
"4800","24","24","24","3.202359676361084","3.202359676361084","3.202359676361084","49","49","49","1.393226146697998","1.393226146697998","1.393226146697998","24","24","24","3.0393247604370117","3.0393247604370117","3.0393247604370117","49","49","49","1.3991334438323975","1.3991334438323975","1.3991334438323975","49","49","49","1.3657857179641724","1.3657857179641724","1.3657857179641724","24","24","24","2.895472288131714","2.895472288131714","2.895472288131714"
"5000","25","25","25","2.992297887802124","2.992297887802124","2.992297887802124","51","51","51","1.374542474746704","1.374542474746704","1.374542474746704","25","25","25","3.016286849975586","3.016286849975586","3.016286849975586","51","51","51","1.3776473999023438","1.3776473999023438","1.3776473999023438","51","51","51","1.4353828430175781","1.4353828430175781","1.4353828430175781","25","25","25","2.9592838287353516","2.9592838287353516","2.9592838287353516"
"5200","26","26","26","2.647115468978882","2.647115468978882","2.647115468978882","53","53","53","1.3883894681930542","1.3883894681930542","1.3883894681930542","26","26","26","2.8353283405303955","2.8353283405303955","2.8353283405303955","53","53","53","1.3960245847702026","1.3960245847702026","1.3960245847702026","53","53","53","1.33830988407135","1.33830988407135","1.33830988407135","26","26","26","2.782125234603882","2.782125234603882","2.782125234603882"
"5400","27","27","27","2.5814077854156494","2.5814077854156494","2.5814077854156494","55","55","55","1.4390960931777954","1.4390960931777954","1.4390960931777954","27","27","27","3.0946152210235596","3.0946152210235596","3.0946152210235596","55","55","55","1.4450957775115967","1.4450957775115967","1.4450957775115967","55","55","55","1.4301332235336304","1.4301332235336304","1.4301332235336304","27","27","27","2.920095682144165","2.920095682144165","2.920095682144165"
"5600","28","28","28","2.897313117980957","2.897313117980957","2.897313117980957","57","57","57","1.4611393213272095","1.4611393213272095","1.4611393213272095","28","28","28","2.6939098834991455","2.6939098834991455","2.6939098834991455","57","57","57","1.4627031087875366","1.4627031087875366","1.4627031087875366","57","57","57","1.4079519510269165","1.4079519510269165","1.4079519510269165","28","28","28","2.944260835647583","2.944260835647583","2.944260835647583"
"5800","29","29","29","2.862072229385376","2.862072229385376","2.862072229385376","59","59","59","1.3631445169448853","1.3631445169448853","1.3631445169448853","29","29","29","3.200594663619995","3.200594663619995","3.200594663619995","59","59","59","1.3653595447540283","1.3653595447540283","1.3653595447540283","59","59","59","1.3567076921463013","1.3567076921463013","1.3567076921463013","29","29","29","2.9823715686798096","2.9823715686798096","2.9823715686798096"
"6000","30","30","30","3.021841049194336","3.021841049194336","3.021841049194336","61","61","61","1.4769991636276245","1.4769991636276245","1.4769991636276245","30","30","30","3.0860493183135986","3.0860493183135986","3.0860493183135986","61","61","61","1.4810816049575806","1.4810816049575806","1.4810816049575806","61","61","61","1.375211238861084","1.375211238861084","1.375211238861084","30","30","30","2.8618083000183105","2.8618083000183105","2.8618083000183105"
"6200","31","31","31","2.794045925140381","2.794045925140381","2.794045925140381","63","63","63","1.4496986865997314","1.4496986865997314","1.4496986865997314","31","31","31","2.8444066047668457","2.8444066047668457","2.8444066047668457","63","63","63","1.4492911100387573","1.4492911100387573","1.4492911100387573","63","63","63","1.4270166158676147","1.4270166158676147","1.4270166158676147","31","31","31","3.0306217670440674","3.0306217670440674","3.0306217670440674"
"6400","32","32","32","2.5381648540496826","2.5381648540496826","2.5381648540496826","65","65","65","1.417352318763733","1.417352318763733","1.417352318763733","32","32","32","3.068378448486328","3.068378448486328","3.068378448486328","65","65","65","1.4184027910232544","1.4184027910232544","1.4184027910232544","65","65","65","1.4760794639587402","1.4760794639587402","1.4760794639587402","32","32","32","3.4967434406280518","3.4967434406280518","3.4967434406280518"
"6600","33","33","33","2.197497606277466","2.197497606277466","2.197497606277466","67","67","67","1.5096173286437988","1.5096173286437988","1.5096173286437988","33","33","33","3.049715995788574","3.049715995788574","3.049715995788574","67","67","67","1.5083428621292114","1.5083428621292114","1.5083428621292114","67","67","67","1.4671651124954224","1.4671651124954224","1.4671651124954224","33","33","33","2.733358144760132","2.733358144760132","2.733358144760132"
"6800","34","34","34","2.8885550498962402","2.8885550498962402","2.8885550498962402","69","69","69","1.5502482652664185","1.5502482652664185","1.5502482652664185","34","34","34","2.869568347930908","2.869568347930908","2.869568347930908","69","69","69","1.5502711534500122","1.5502711534500122","1.5502711534500122","69","69","69","1.4145655632019043","1.4145655632019043","1.4145655632019043","34","34","34","2.741964340209961","2.741964340209961","2.741964340209961"
"7000","35","35","35","2.6051719188690186","2.6051719188690186","2.6051719188690186","71","71","71","1.5263713598251343","1.5263713598251343","1.5263713598251343","35","35","35","2.8180739879608154","2.8180739879608154","2.8180739879608154","71","71","71","1.5271848440170288","1.5271848440170288","1.5271848440170288","71","71","71","1.471297264099121","1.471297264099121","1.471297264099121","35","35","35","2.7101900577545166","2.7101900577545166","2.7101900577545166"
"7200","36","36","36","2.7788503170013428","2.7788503170013428","2.7788503170013428","73","73","73","1.5592533349990845","1.5592533349990845","1.5592533349990845","36","36","36","3.054614543914795","3.054614543914795","3.054614543914795","73","73","73","1.5586611032485962","1.5586611032485962","1.5586611032485962","73","73","73","1.4734101295471191","1.4734101295471191","1.4734101295471191","36","36","36","2.4371495246887207","2.4371495246887207","2.4371495246887207"
"7400","37","37","37","3.2589142322540283","3.2589142322540283","3.2589142322540283","75","75","75","1.4105634689331055","1.4105634689331055","1.4105634689331055","37","37","37","3.1214303970336914","3.1214303970336914","3.1214303970336914","75","75","75","1.4091988801956177","1.4091988801956177","1.4091988801956177","75","75","75","1.5347024202346802","1.5347024202346802","1.5347024202346802","37","37","37","2.8512182235717773","2.8512182235717773","2.8512182235717773"
"7600","38","38","38","2.2631871700286865","2.2631871700286865","2.2631871700286865","77","77","77","1.4399460554122925","1.4399460554122925","1.4399460554122925","38","38","38","2.9609076976776123","2.9609076976776123","2.9609076976776123","77","77","77","1.4382802248001099","1.4382802248001099","1.4382802248001099","77","77","77","1.4685347080230713","1.4685347080230713","1.4685347080230713","38","38","38","2.596198558807373","2.596198558807373","2.596198558807373"
"7800","39","39","39","2.8149778842926025","2.8149778842926025","2.8149778842926025","79","79","79","1.544404149055481","1.544404149055481","1.544404149055481","39","39","39","2.605882167816162","2.605882167816162","2.605882167816162","79","79","79","1.5446479320526123","1.5446479320526123","1.5446479320526123","79","79","79","1.4698420763015747","1.4698420763015747","1.4698420763015747","39","39","39","2.9553661346435547","2.9553661346435547","2.9553661346435547"
"8000","40","40","40","2.7961370944976807","2.7961370944976807","2.7961370944976807","81","81","81","1.5172747373580933","1.5172747373580933","1.5172747373580933","40","40","40","3.1277613639831543","3.1277613639831543","3.1277613639831543","81","81","81","1.5165258646011353","1.5165258646011353","1.5165258646011353","81","81","81","1.543794870376587","1.543794870376587","1.543794870376587","40","40","40","2.9455928802490234","2.9455928802490234","2.9455928802490234"
"8200","41","41","41","2.5644447803497314","2.5644447803497314","2.5644447803497314","83","83","83","1.4676861763000488","1.4676861763000488","1.4676861763000488","41","41","41","3.314182758331299","3.314182758331299","3.314182758331299","83","83","83","1.4673874378204346","1.4673874378204346","1.4673874378204346","83","83","83","1.4831689596176147","1.4831689596176147","1.4831689596176147","41","41","41","2.355600118637085","2.355600118637085","2.355600118637085"
"8400","42","42","42","2.6050143241882324","2.6050143241882324","2.6050143241882324","85","85","85","1.6501365900039673","1.6501365900039673","1.6501365900039673","42","42","42","2.767346143722534","2.767346143722534","2.767346143722534","85","85","85","1.646928310394287","1.646928310394287","1.646928310394287","85","85","85","1.4828945398330688","1.4828945398330688","1.4828945398330688","42","42","42","2.456861972808838","2.456861972808838","2.456861972808838"
"8497","","","","","","","87","87","87","1.5439525842666626","1.5439525842666626","1.5439525842666626","","","","","","","87","87","87","1.5445724725723267","1.5445724725723267","1.5445724725723267","87","87","87","1.5226882696151733","1.5226882696151733","1.5226882696151733","","","","","",""