"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - time_per_step_ms","raschka_gpu_45887 - time_per_step_ms__MIN","raschka_gpu_45887 - time_per_step_ms__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - time_per_step_ms","raschka_gpu_5678 - time_per_step_ms__MIN","raschka_gpu_5678 - time_per_step_ms__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - time_per_step_ms","raschka_gpu_123 - time_per_step_ms__MIN","raschka_gpu_123 - time_per_step_ms__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - time_per_step_ms","karpathy_gpu_45887 - time_per_step_ms__MIN","karpathy_gpu_45887 - time_per_step_ms__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - time_per_step_ms","karpathy_gpu_5678 - time_per_step_ms__MIN","karpathy_gpu_5678 - time_per_step_ms__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - time_per_step_ms","karpathy_gpu_123 - time_per_step_ms__MIN","karpathy_gpu_123 - time_per_step_ms__MAX"
"0","0","0","0","450.78158378601074","450.78158378601074","450.78158378601074","0","0","0","474.9014377593994","474.9014377593994","474.9014377593994","0","0","0","819.4758892059326","819.4758892059326","819.4758892059326","1","1","1","3677.2782802581787","3677.2782802581787","3677.2782802581787","1","1","1","3678.2937049865723","3678.2937049865723","3678.2937049865723","1","1","1","34657.29093551636","34657.29093551636","34657.29093551636"
"200","1","1","1","322.6957321166992","322.6957321166992","322.6957321166992","1","1","1","330.5964469909668","330.5964469909668","330.5964469909668","1","1","1","149.2598056793213","149.2598056793213","149.2598056793213","3","3","3","138.02194595336914","138.02194595336914","138.02194595336914","3","3","3","131.59823417663574","131.59823417663574","131.59823417663574","3","3","3","131.51264190673828","131.51264190673828","131.51264190673828"
"400","2","2","2","221.7276096343994","221.7276096343994","221.7276096343994","2","2","2","296.3225841522217","296.3225841522217","296.3225841522217","2","2","2","356.85157775878906","356.85157775878906","356.85157775878906","5","5","5","132.30109214782715","132.30109214782715","132.30109214782715","5","5","5","131.99448585510254","131.99448585510254","131.99448585510254","5","5","5","136.58452033996582","136.58452033996582","136.58452033996582"
"600","3","3","3","269.4506645202637","269.4506645202637","269.4506645202637","3","3","3","172.2884178161621","172.2884178161621","172.2884178161621","3","3","3","159.7278118133545","159.7278118133545","159.7278118133545","7","7","7","131.927490234375","131.927490234375","131.927490234375","7","7","7","131.4997673034668","131.4997673034668","131.4997673034668","7","7","7","132.2333812713623","132.2333812713623","132.2333812713623"
"800","4","4","4","395.7815170288086","395.7815170288086","395.7815170288086","4","4","4","318.7875747680664","318.7875747680664","318.7875747680664","4","4","4","225.77309608459473","225.77309608459473","225.77309608459473","9","9","9","134.84644889831543","134.84644889831543","134.84644889831543","9","9","9","135.00714302062988","135.00714302062988","135.00714302062988","9","9","9","137.06135749816895","137.06135749816895","137.06135749816895"
"1000","5","5","5","327.1012306213379","327.1012306213379","327.1012306213379","5","5","5","425.7504940032959","425.7504940032959","425.7504940032959","5","5","5","147.29809761047363","147.29809761047363","147.29809761047363","11","11","11","132.68375396728516","132.68375396728516","132.68375396728516","11","11","11","142.9767608642578","142.9767608642578","142.9767608642578","11","11","11","137.5141143798828","137.5141143798828","137.5141143798828"
"1200","6","6","6","366.8227195739746","366.8227195739746","366.8227195739746","6","6","6","364.56990242004395","364.56990242004395","364.56990242004395","6","6","6","365.2803897857666","365.2803897857666","365.2803897857666","13","13","13","132.4462890625","132.4462890625","132.4462890625","13","13","13","136.09838485717773","136.09838485717773","136.09838485717773","13","13","13","140.5491828918457","140.5491828918457","140.5491828918457"
"1400","7","7","7","428.68828773498535","428.68828773498535","428.68828773498535","7","7","7","131.73532485961914","131.73532485961914","131.73532485961914","7","7","7","483.1981658935547","483.1981658935547","483.1981658935547","15","15","15","134.3977451324463","134.3977451324463","134.3977451324463","15","15","15","139.95790481567383","139.95790481567383","139.95790481567383","15","15","15","141.83473587036133","141.83473587036133","141.83473587036133"
"1600","8","8","8","323.3003616333008","323.3003616333008","323.3003616333008","8","8","8","261.857271194458","261.857271194458","261.857271194458","8","8","8","157.84454345703125","157.84454345703125","157.84454345703125","17","17","17","132.50255584716797","132.50255584716797","132.50255584716797","17","17","17","136.51084899902344","136.51084899902344","136.51084899902344","17","17","17","133.1501007080078","133.1501007080078","133.1501007080078"
"1800","9","9","9","185.73307991027832","185.73307991027832","185.73307991027832","9","9","9","312.2141361236572","312.2141361236572","312.2141361236572","9","9","9","137.12239265441895","137.12239265441895","137.12239265441895","19","19","19","135.67352294921875","135.67352294921875","135.67352294921875","19","19","19","139.662504196167","139.662504196167","139.662504196167","19","19","19","133.2721710205078","133.2721710205078","133.2721710205078"
"2000","10","10","10","566.5462017059326","566.5462017059326","566.5462017059326","10","10","10","301.03135108947754","301.03135108947754","301.03135108947754","10","10","10","495.1460361480713","495.1460361480713","495.1460361480713","21","21","21","133.02040100097656","133.02040100097656","133.02040100097656","21","21","21","141.00313186645508","141.00313186645508","141.00313186645508","21","21","21","132.36284255981445","132.36284255981445","132.36284255981445"
"2200","11","11","11","146.00515365600586","146.00515365600586","146.00515365600586","11","11","11","270.9081172943115","270.9081172943115","270.9081172943115","11","11","11","277.35328674316406","277.35328674316406","277.35328674316406","23","23","23","132.0788860321045","132.0788860321045","132.0788860321045","23","23","23","139.36305046081543","139.36305046081543","139.36305046081543","23","23","23","132.94672966003418","132.94672966003418","132.94672966003418"
"2400","12","12","12","296.72813415527344","296.72813415527344","296.72813415527344","12","12","12","420.66407203674316","420.66407203674316","420.66407203674316","12","12","12","175.05550384521484","175.05550384521484","175.05550384521484","25","25","25","135.20264625549316","135.20264625549316","135.20264625549316","25","25","25","135.59317588806152","135.59317588806152","135.59317588806152","25","25","25","136.976957321167","136.976957321167","136.976957321167"
"2600","13","13","13","179.66532707214355","179.66532707214355","179.66532707214355","13","13","13","135.88213920593262","135.88213920593262","135.88213920593262","13","13","13","157.03511238098145","157.03511238098145","157.03511238098145","27","27","27","133.14175605773926","133.14175605773926","133.14175605773926","27","27","27","137.29429244995117","137.29429244995117","137.29429244995117","27","27","27","136.34538650512695","136.34538650512695","136.34538650512695"
"2800","14","14","14","374.30858612060547","374.30858612060547","374.30858612060547","14","14","14","319.43416595458984","319.43416595458984","319.43416595458984","14","14","14","133.5737705230713","133.5737705230713","133.5737705230713","29","29","29","132.59410858154297","132.59410858154297","132.59410858154297","29","29","29","136.3208293914795","136.3208293914795","136.3208293914795","29","29","29","133.5904598236084","133.5904598236084","133.5904598236084"
"3000","15","15","15","157.96303749084473","157.96303749084473","157.96303749084473","15","15","15","524.1434574127197","524.1434574127197","524.1434574127197","15","15","15","482.70177841186523","482.70177841186523","482.70177841186523","31","31","31","134.43899154663086","134.43899154663086","134.43899154663086","31","31","31","132.01427459716797","132.01427459716797","132.01427459716797","31","31","31","132.4169635772705","132.4169635772705","132.4169635772705"
"3200","16","16","16","433.3362579345703","433.3362579345703","433.3362579345703","16","16","16","154.21628952026367","154.21628952026367","154.21628952026367","16","16","16","154.87265586853027","154.87265586853027","154.87265586853027","33","33","33","141.16239547729492","141.16239547729492","141.16239547729492","33","33","33","134.37175750732422","134.37175750732422","134.37175750732422","33","33","33","133.0704689025879","133.0704689025879","133.0704689025879"
"3400","17","17","17","145.8892822265625","145.8892822265625","145.8892822265625","17","17","17","182.76548385620117","182.76548385620117","182.76548385620117","17","17","17","233.02865028381348","233.02865028381348","233.02865028381348","35","35","35","133.01491737365723","133.01491737365723","133.01491737365723","35","35","35","132.8883171081543","132.8883171081543","132.8883171081543","35","35","35","133.0130100250244","133.0130100250244","133.0130100250244"
"3600","18","18","18","144.41895484924316","144.41895484924316","144.41895484924316","18","18","18","279.7815799713135","279.7815799713135","279.7815799713135","18","18","18","609.5266342163086","609.5266342163086","609.5266342163086","37","37","37","132.5392723083496","132.5392723083496","132.5392723083496","37","37","37","135.1602077484131","135.1602077484131","135.1602077484131","37","37","37","137.65954971313477","137.65954971313477","137.65954971313477"
"3800","19","19","19","265.7961845397949","265.7961845397949","265.7961845397949","19","19","19","332.68070220947266","332.68070220947266","332.68070220947266","19","19","19","217.6382541656494","217.6382541656494","217.6382541656494","39","39","39","137.53771781921387","137.53771781921387","137.53771781921387","39","39","39","138.75341415405273","138.75341415405273","138.75341415405273","39","39","39","133.06713104248047","133.06713104248047","133.06713104248047"
"4000","20","20","20","470.001220703125","470.001220703125","470.001220703125","20","20","20","135.35094261169434","135.35094261169434","135.35094261169434","20","20","20","177.38699913024902","177.38699913024902","177.38699913024902","41","41","41","137.19606399536133","137.19606399536133","137.19606399536133","41","41","41","136.71207427978516","136.71207427978516","136.71207427978516","41","41","41","136.17992401123047","136.17992401123047","136.17992401123047"
"4200","21","21","21","161.04793548583984","161.04793548583984","161.04793548583984","21","21","21","379.49323654174805","379.49323654174805","379.49323654174805","21","21","21","436.60521507263184","436.60521507263184","436.60521507263184","43","43","43","136.91258430480957","136.91258430480957","136.91258430480957","43","43","43","136.36493682861328","136.36493682861328","136.36493682861328","43","43","43","133.2533359527588","133.2533359527588","133.2533359527588"
"4400","22","22","22","270.6923484802246","270.6923484802246","270.6923484802246","22","22","22","158.26797485351562","158.26797485351562","158.26797485351562","22","22","22","307.4002265930176","307.4002265930176","307.4002265930176","45","45","45","133.284330368042","133.284330368042","133.284330368042","45","45","45","135.6797218322754","135.6797218322754","135.6797218322754","45","45","45","132.857084274292","132.857084274292","132.857084274292"
"4600","23","23","23","232.8360080718994","232.8360080718994","232.8360080718994","23","23","23","196.75278663635254","196.75278663635254","196.75278663635254","23","23","23","296.6799736022949","296.6799736022949","296.6799736022949","47","47","47","132.92193412780762","132.92193412780762","132.92193412780762","47","47","47","133.42833518981934","133.42833518981934","133.42833518981934","47","47","47","137.87031173706055","137.87031173706055","137.87031173706055"
"4800","24","24","24","325.03414154052734","325.03414154052734","325.03414154052734","24","24","24","301.38540267944336","301.38540267944336","301.38540267944336","24","24","24","270.9226608276367","270.9226608276367","270.9226608276367","49","49","49","133.65435600280762","133.65435600280762","133.65435600280762","49","49","49","132.74645805358887","132.74645805358887","132.74645805358887","49","49","49","133.4531307220459","133.4531307220459","133.4531307220459"
"5000","25","25","25","197.9513168334961","197.9513168334961","197.9513168334961","25","25","25","327.9297351837158","327.9297351837158","327.9297351837158","25","25","25","405.55644035339355","405.55644035339355","405.55644035339355","51","51","51","133.72397422790527","133.72397422790527","133.72397422790527","51","51","51","133.86178016662598","133.86178016662598","133.86178016662598","51","51","51","140.22183418273926","140.22183418273926","140.22183418273926"
"5200","26","26","26","277.08959579467773","277.08959579467773","277.08959579467773","26","26","26","323.2402801513672","323.2402801513672","323.2402801513672","26","26","26","185.8503818511963","185.8503818511963","185.8503818511963","53","53","53","141.01886749267578","141.01886749267578","141.01886749267578","53","53","53","133.23974609375","133.23974609375","133.23974609375","53","53","53","133.4536075592041","133.4536075592041","133.4536075592041"
"5400","27","27","27","250.03361701965332","250.03361701965332","250.03361701965332","27","27","27","328.35912704467773","328.35912704467773","328.35912704467773","27","27","27","155.74073791503906","155.74073791503906","155.74073791503906","55","55","55","132.61103630065918","132.61103630065918","132.61103630065918","55","55","55","140.61427116394043","140.61427116394043","140.61427116394043","55","55","55","137.50171661376953","137.50171661376953","137.50171661376953"
"5600","28","28","28","174.79252815246582","174.79252815246582","174.79252815246582","28","28","28","331.35437965393066","331.35437965393066","331.35437965393066","28","28","28","248.12579154968262","248.12579154968262","248.12579154968262","57","57","57","132.77149200439453","132.77149200439453","132.77149200439453","57","57","57","145.45607566833496","145.45607566833496","145.45607566833496","57","57","57","133.4218978881836","133.4218978881836","133.4218978881836"
"5800","29","29","29","333.17017555236816","333.17017555236816","333.17017555236816","29","29","29","160.7804298400879","160.7804298400879","160.7804298400879","29","29","29","300.0164031982422","300.0164031982422","300.0164031982422","59","59","59","136.93928718566895","136.93928718566895","136.93928718566895","59","59","59","132.81512260437012","132.81512260437012","132.81512260437012","59","59","59","132.88378715515137","132.88378715515137","132.88378715515137"
"6000","30","30","30","279.3087959289551","279.3087959289551","279.3087959289551","30","30","30","147.19319343566895","147.19319343566895","147.19319343566895","30","30","30","328.75561714172363","328.75561714172363","328.75561714172363","61","61","61","133.50653648376465","133.50653648376465","133.50653648376465","61","61","61","140.3336524963379","140.3336524963379","140.3336524963379","61","61","61","150.43997764587402","150.43997764587402","150.43997764587402"
"6200","31","31","31","209.5181941986084","209.5181941986084","209.5181941986084","31","31","31","265.03777503967285","265.03777503967285","265.03777503967285","31","31","31","175.06980895996094","175.06980895996094","175.06980895996094","63","63","63","140.3062343597412","140.3062343597412","140.3062343597412","63","63","63","135.6492042541504","135.6492042541504","135.6492042541504","63","63","63","136.86466217041016","136.86466217041016","136.86466217041016"
"6400","32","32","32","196.02370262145996","196.02370262145996","196.02370262145996","32","32","32","266.6938304901123","266.6938304901123","266.6938304901123","32","32","32","262.5393867492676","262.5393867492676","262.5393867492676","65","65","65","136.52491569519043","136.52491569519043","136.52491569519043","65","65","65","140.4726505279541","140.4726505279541","140.4726505279541","65","65","65","136.40856742858887","136.40856742858887","136.40856742858887"
"6600","33","33","33","299.21698570251465","299.21698570251465","299.21698570251465","33","33","33","595.9515571594238","595.9515571594238","595.9515571594238","33","33","33","183.14003944396973","183.14003944396973","183.14003944396973","67","67","67","132.85231590270996","132.85231590270996","132.85231590270996","67","67","67","136.21878623962402","136.21878623962402","136.21878623962402","67","67","67","140.30170440673828","140.30170440673828","140.30170440673828"
"6800","34","34","34","300.62341690063477","300.62341690063477","300.62341690063477","34","34","34","204.8206329345703","204.8206329345703","204.8206329345703","34","34","34","250.86212158203125","250.86212158203125","250.86212158203125","69","69","69","132.37643241882324","132.37643241882324","132.37643241882324","69","69","69","133.78429412841797","133.78429412841797","133.78429412841797","69","69","69","141.1592960357666","141.1592960357666","141.1592960357666"
"7000","35","35","35","497.96462059020996","497.96462059020996","497.96462059020996","35","35","35","250.39196014404297","250.39196014404297","250.39196014404297","35","35","35","270.784854888916","270.784854888916","270.784854888916","71","71","71","133.57782363891602","133.57782363891602","133.57782363891602","71","71","71","133.3167552947998","133.3167552947998","133.3167552947998","71","71","71","134.46879386901855","134.46879386901855","134.46879386901855"
"7200","36","36","36","383.7573528289795","383.7573528289795","383.7573528289795","36","36","36","218.90974044799805","218.90974044799805","218.90974044799805","36","36","36","200.76489448547363","200.76489448547363","200.76489448547363","73","73","73","133.1167221069336","133.1167221069336","133.1167221069336","73","73","73","133.04710388183594","133.04710388183594","133.04710388183594","73","73","73","133.91542434692383","133.91542434692383","133.91542434692383"
"7400","37","37","37","492.71631240844727","492.71631240844727","492.71631240844727","37","37","37","156.97836875915527","156.97836875915527","156.97836875915527","37","37","37","276.51214599609375","276.51214599609375","276.51214599609375","75","75","75","132.75408744812012","132.75408744812012","132.75408744812012","75","75","75","132.62581825256348","132.62581825256348","132.62581825256348","75","75","75","134.43565368652344","134.43565368652344","134.43565368652344"
"7600","38","38","38","263.06700706481934","263.06700706481934","263.06700706481934","38","38","38","243.58391761779785","243.58391761779785","243.58391761779785","38","38","38","199.8422145843506","199.8422145843506","199.8422145843506","77","77","77","136.70063018798828","136.70063018798828","136.70063018798828","77","77","77","131.99687004089355","131.99687004089355","131.99687004089355","77","77","77","133.60857963562012","133.60857963562012","133.60857963562012"
"7800","39","39","39","333.1151008605957","333.1151008605957","333.1151008605957","39","39","39","275.4483222961426","275.4483222961426","275.4483222961426","39","39","39","298.9494800567627","298.9494800567627","298.9494800567627","79","79","79","143.85128021240234","143.85128021240234","143.85128021240234","79","79","79","139.88709449768066","139.88709449768066","139.88709449768066","79","79","79","132.23671913146973","132.23671913146973","132.23671913146973"
"8000","40","40","40","158.48708152770996","158.48708152770996","158.48708152770996","40","40","40","377.575159072876","377.575159072876","377.575159072876","40","40","40","261.49749755859375","261.49749755859375","261.49749755859375","81","81","81","137.44640350341797","137.44640350341797","137.44640350341797","81","81","81","140.95520973205566","140.95520973205566","140.95520973205566","81","81","81","137.35151290893555","137.35151290893555","137.35151290893555"
"8200","41","41","41","250.01835823059082","250.01835823059082","250.01835823059082","41","41","41","298.0170249938965","298.0170249938965","298.0170249938965","41","41","41","362.43176460266113","362.43176460266113","362.43176460266113","83","83","83","136.31582260131836","136.31582260131836","136.31582260131836","83","83","83","135.71715354919434","135.71715354919434","135.71715354919434","83","83","83","133.2564353942871","133.2564353942871","133.2564353942871"
"8400","42","42","42","308.8517189025879","308.8517189025879","308.8517189025879","42","42","42","306.7665100097656","306.7665100097656","306.7665100097656","42","42","42","365.3230667114258","365.3230667114258","365.3230667114258","85","85","85","132.68351554870605","132.68351554870605","132.68351554870605","85","85","85","132.64870643615723","132.64870643615723","132.64870643615723","85","85","85","132.5705051422119","132.5705051422119","132.5705051422119"
"8497","","","","","","","","","","","","","","","","","","","87","87","87","6531.207084655762","6531.207084655762","6531.207084655762","87","87","87","6656.1150550842285","6656.1150550842285","6656.1150550842285","87","87","87","28713.97614479065","28713.97614479065","28713.97614479065"