"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - train_loss","raschka_gpu_45887 - train_loss__MIN","raschka_gpu_45887 - train_loss__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - train_loss","raschka_gpu_5678 - train_loss__MIN","raschka_gpu_5678 - train_loss__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - train_loss","raschka_gpu_123 - train_loss__MIN","raschka_gpu_123 - train_loss__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - train_loss","karpathy_gpu_45887 - train_loss__MIN","karpathy_gpu_45887 - train_loss__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - train_loss","karpathy_gpu_5678 - train_loss__MIN","karpathy_gpu_5678 - train_loss__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - train_loss","karpathy_gpu_123 - train_loss__MIN","karpathy_gpu_123 - train_loss__MAX"
"0","0","0","0","2.288512182235718","2.288512182235718","2.288512182235718","0","0","0","2.229971408843994","2.229971408843994","2.229971408843994","0","0","0","2.209324836730957","2.209324836730957","2.209324836730957","1","1","1","2.3350939750671387","2.3350939750671387","2.3350939750671387","1","1","1","2.3350939750671387","2.3350939750671387","2.3350939750671387","1","1","1","2.3350939750671387","2.3350939750671387","2.3350939750671387"
"200","1","1","1","1.770890998840332","1.770890998840332","1.770890998840332","1","1","1","1.8239749193191528","1.8239749193191528","1.8239749193191528","1","1","1","1.7936294555664063","1.7936294555664063","1.7936294555664063","3","3","3","1.9672497510910034","1.9672497510910034","1.9672497510910034","3","3","3","1.949942946434021","1.949942946434021","1.949942946434021","3","3","3","1.949737787246704","1.949737787246704","1.949737787246704"
"400","2","2","2","1.8007709741592408","1.8007709741592408","1.8007709741592408","2","2","2","1.740385317802429","1.740385317802429","1.740385317802429","2","2","2","1.7151203393936156","1.7151203393936156","1.7151203393936156","5","5","5","1.8647661209106445","1.8647661209106445","1.8647661209106445","5","5","5","1.843033790588379","1.843033790588379","1.843033790588379","5","5","5","1.8423999547958374","1.8423999547958374","1.8423999547958374"
"600","3","3","3","1.6959315538406372","1.6959315538406372","1.6959315538406372","3","3","3","1.7067387580871582","1.7067387580871582","1.7067387580871582","3","3","3","1.6679686307907104","1.6679686307907104","1.6679686307907104","7","7","7","1.6966607570648193","1.6966607570648193","1.6966607570648193","7","7","7","1.679919719696045","1.679919719696045","1.679919719696045","7","7","7","1.6790375709533691","1.6790375709533691","1.6790375709533691"
"800","4","4","4","1.667407464981079","1.667407464981079","1.667407464981079","4","4","4","1.6939528942108155","1.6939528942108155","1.6939528942108155","4","4","4","1.6573514461517334","1.6573514461517334","1.6573514461517334","9","9","9","1.7995693683624268","1.7995693683624268","1.7995693683624268","9","9","9","1.7777187824249268","1.7777187824249268","1.7777187824249268","9","9","9","1.7791954278945923","1.7791954278945923","1.7791954278945923"
"1000","5","5","5","1.6319241523742676","1.6319241523742676","1.6319241523742676","5","5","5","1.6448858976364136","1.6448858976364136","1.6448858976364136","5","5","5","1.6193712949752808","1.6193712949752808","1.6193712949752808","11","11","11","1.7240407466888428","1.7240407466888428","1.7240407466888428","11","11","11","1.7059130668640137","1.7059130668640137","1.7059130668640137","11","11","11","1.7050368785858154","1.7050368785858154","1.7050368785858154"
"1200","6","6","6","1.6514164924621582","1.6514164924621582","1.6514164924621582","6","6","6","1.6606109142303467","1.6606109142303467","1.6606109142303467","6","6","6","1.7184667110443115","1.7184667110443115","1.7184667110443115","13","13","13","1.6152939796447754","1.6152939796447754","1.6152939796447754","13","13","13","1.5992035865783691","1.5992035865783691","1.5992035865783691","13","13","13","1.5989365577697754","1.5989365577697754","1.5989365577697754"
"1400","7","7","7","1.5996897220611572","1.5996897220611572","1.5996897220611572","7","7","7","1.6401155948638917","1.6401155948638917","1.6401155948638917","7","7","7","1.5768985986709594","1.5768985986709594","1.5768985986709594","15","15","15","1.6114821434020996","1.6114821434020996","1.6114821434020996","15","15","15","1.5932507514953613","1.5932507514953613","1.5932507514953613","15","15","15","1.5938798189163208","1.5938798189163208","1.5938798189163208"
"1600","8","8","8","1.6518095016479493","1.6518095016479493","1.6518095016479493","8","8","8","1.6001866102218627","1.6001866102218627","1.6001866102218627","8","8","8","1.5051470518112182","1.5051470518112182","1.5051470518112182","17","17","17","1.5725517272949219","1.5725517272949219","1.5725517272949219","17","17","17","1.558882713317871","1.558882713317871","1.558882713317871","17","17","17","1.5565000772476196","1.5565000772476196","1.5565000772476196"
"1800","9","9","9","1.5263761281967163","1.5263761281967163","1.5263761281967163","9","9","9","1.589146113395691","1.589146113395691","1.589146113395691","9","9","9","1.5934624910354613","1.5934624910354613","1.5934624910354613","19","19","19","1.5799987316131592","1.5799987316131592","1.5799987316131592","19","19","19","1.5716595649719238","1.5716595649719238","1.5716595649719238","19","19","19","1.5720062255859375","1.5720062255859375","1.5720062255859375"
"2000","10","10","10","1.5716222763061523","1.5716222763061523","1.5716222763061523","10","10","10","1.5795615434646606","1.5795615434646606","1.5795615434646606","10","10","10","1.584254789352417","1.584254789352417","1.584254789352417","21","21","21","1.540183424949646","1.540183424949646","1.540183424949646","21","21","21","1.5305992364883423","1.5305992364883423","1.5305992364883423","21","21","21","1.530740737915039","1.530740737915039","1.530740737915039"
"2200","11","11","11","1.5216473579406737","1.5216473579406737","1.5216473579406737","11","11","11","1.697021746635437","1.697021746635437","1.697021746635437","11","11","11","1.5097290754318238","1.5097290754318238","1.5097290754318238","23","23","23","1.451874852180481","1.451874852180481","1.451874852180481","23","23","23","1.4396374225616455","1.4396374225616455","1.4396374225616455","23","23","23","1.439953088760376","1.439953088760376","1.439953088760376"
"2400","12","12","12","1.5696569204330444","1.5696569204330444","1.5696569204330444","12","12","12","1.7018640995025636","1.7018640995025636","1.7018640995025636","12","12","12","1.5361995220184326","1.5361995220184326","1.5361995220184326","25","25","25","1.5229116678237915","1.5229116678237915","1.5229116678237915","25","25","25","1.5117164850234985","1.5117164850234985","1.5117164850234985","25","25","25","1.5122857093811035","1.5122857093811035","1.5122857093811035"
"2600","13","13","13","1.5093822956085206","1.5093822956085206","1.5093822956085206","13","13","13","1.6115168571472167","1.6115168571472167","1.6115168571472167","13","13","13","1.524143099784851","1.524143099784851","1.524143099784851","27","27","27","1.4585092067718506","1.4585092067718506","1.4585092067718506","27","27","27","1.453150749206543","1.453150749206543","1.453150749206543","27","27","27","1.4535715579986572","1.4535715579986572","1.4535715579986572"
"2800","14","14","14","1.5576669454574585","1.5576669454574585","1.5576669454574585","14","14","14","1.5327693939208984","1.5327693939208984","1.5327693939208984","14","14","14","1.5129639387130738","1.5129639387130738","1.5129639387130738","29","29","29","1.4711370468139648","1.4711370468139648","1.4711370468139648","29","29","29","1.4625699520111084","1.4625699520111084","1.4625699520111084","29","29","29","1.4618213176727295","1.4618213176727295","1.4618213176727295"
"3000","15","15","15","1.459938383102417","1.459938383102417","1.459938383102417","15","15","15","1.5243185997009276","1.5243185997009276","1.5243185997009276","15","15","15","1.5232030391693114","1.5232030391693114","1.5232030391693114","31","31","31","1.5207059383392334","1.5207059383392334","1.5207059383392334","31","31","31","1.5123627185821533","1.5123627185821533","1.5123627185821533","31","31","31","1.5118345022201538","1.5118345022201538","1.5118345022201538"
"3200","16","16","16","1.4173787832260132","1.4173787832260132","1.4173787832260132","16","16","16","1.5562312602996826","1.5562312602996826","1.5562312602996826","16","16","16","1.4724810361862182","1.4724810361862182","1.4724810361862182","33","33","33","1.376369595527649","1.376369595527649","1.376369595527649","33","33","33","1.3675239086151123","1.3675239086151123","1.3675239086151123","33","33","33","1.3672683238983154","1.3672683238983154","1.3672683238983154"
"3400","17","17","17","1.5595685482025146","1.5595685482025146","1.5595685482025146","17","17","17","1.4583667755126952","1.4583667755126952","1.4583667755126952","17","17","17","1.5015771627426147","1.5015771627426147","1.5015771627426147","35","35","35","1.424261212348938","1.424261212348938","1.424261212348938","35","35","35","1.4194848537445068","1.4194848537445068","1.4194848537445068","35","35","35","1.419805884361267","1.419805884361267","1.419805884361267"
"3600","18","18","18","1.442114806175232","1.442114806175232","1.442114806175232","18","18","18","1.540969443321228","1.540969443321228","1.540969443321228","18","18","18","1.515138578414917","1.515138578414917","1.515138578414917","37","37","37","1.3599625825881958","1.3599625825881958","1.3599625825881958","37","37","37","1.3550832271575928","1.3550832271575928","1.3550832271575928","37","37","37","1.3544492721557617","1.3544492721557617","1.3544492721557617"
"3800","19","19","19","1.4794939279556274","1.4794939279556274","1.4794939279556274","19","19","19","1.5065293550491332","1.5065293550491332","1.5065293550491332","19","19","19","1.4728662967681885","1.4728662967681885","1.4728662967681885","39","39","39","1.4486268758773804","1.4486268758773804","1.4486268758773804","39","39","39","1.4412261247634888","1.4412261247634888","1.4412261247634888","39","39","39","1.4400739669799805","1.4400739669799805","1.4400739669799805"
"4000","20","20","20","1.5717104911804198","1.5717104911804198","1.5717104911804198","20","20","20","1.60613214969635","1.60613214969635","1.60613214969635","20","20","20","1.442432451248169","1.442432451248169","1.442432451248169","41","41","41","1.4734535217285156","1.4734535217285156","1.4734535217285156","41","41","41","1.4676381349563599","1.4676381349563599","1.4676381349563599","41","41","41","1.467574119567871","1.467574119567871","1.467574119567871"
"4200","21","21","21","1.4822395324707032","1.4822395324707032","1.4822395324707032","21","21","21","1.4010199069976808","1.4010199069976808","1.4010199069976808","21","21","21","1.5578855752944947","1.5578855752944947","1.5578855752944947","43","43","43","1.3469703197479248","1.3469703197479248","1.3469703197479248","43","43","43","1.344310998916626","1.344310998916626","1.344310998916626","43","43","43","1.3445651531219482","1.3445651531219482","1.3445651531219482"
"4400","22","22","22","1.4767266988754273","1.4767266988754273","1.4767266988754273","22","22","22","1.41813223361969","1.41813223361969","1.41813223361969","22","22","22","1.4764458179473876","1.4764458179473876","1.4764458179473876","45","45","45","1.340929627418518","1.340929627418518","1.340929627418518","45","45","45","1.3331754207611084","1.3331754207611084","1.3331754207611084","45","45","45","1.3339166641235352","1.3339166641235352","1.3339166641235352"
"4600","23","23","23","1.522182869911194","1.522182869911194","1.522182869911194","23","23","23","1.5444013357162476","1.5444013357162476","1.5444013357162476","23","23","23","1.3953384399414062","1.3953384399414062","1.3953384399414062","47","47","47","1.3692642450332642","1.3692642450332642","1.3692642450332642","47","47","47","1.362856149673462","1.362856149673462","1.362856149673462","47","47","47","1.3625168800354004","1.3625168800354004","1.3625168800354004"
"4800","24","24","24","1.520674729347229","1.520674729347229","1.520674729347229","24","24","24","1.4742454290390015","1.4742454290390015","1.4742454290390015","24","24","24","1.3761724948883056","1.3761724948883056","1.3761724948883056","49","49","49","1.3254544734954834","1.3254544734954834","1.3254544734954834","49","49","49","1.3201959133148193","1.3201959133148193","1.3201959133148193","49","49","49","1.3217319250106812","1.3217319250106812","1.3217319250106812"
"5000","25","25","25","1.4643692255020142","1.4643692255020142","1.4643692255020142","25","25","25","1.4128549098968506","1.4128549098968506","1.4128549098968506","25","25","25","1.4843615770339966","1.4843615770339966","1.4843615770339966","51","51","51","1.3697032928466797","1.3697032928466797","1.3697032928466797","51","51","51","1.3666956424713135","1.3666956424713135","1.3666956424713135","51","51","51","1.3676507472991943","1.3676507472991943","1.3676507472991943"
"5200","26","26","26","1.4206954717636109","1.4206954717636109","1.4206954717636109","26","26","26","1.42198326587677","1.42198326587677","1.42198326587677","26","26","26","1.502866840362549","1.502866840362549","1.502866840362549","53","53","53","1.3024332523345947","1.3024332523345947","1.3024332523345947","53","53","53","1.3005167245864868","1.3005167245864868","1.3005167245864868","53","53","53","1.300203561782837","1.300203561782837","1.300203561782837"
"5400","27","27","27","1.4061789512634277","1.4061789512634277","1.4061789512634277","27","27","27","1.4306394577026367","1.4306394577026367","1.4306394577026367","27","27","27","1.3625028371810912","1.3625028371810912","1.3625028371810912","55","55","55","1.3184572458267212","1.3184572458267212","1.3184572458267212","55","55","55","1.312873125076294","1.312873125076294","1.312873125076294","55","55","55","1.3142775297164917","1.3142775297164917","1.3142775297164917"
"5600","28","28","28","1.4972467422485352","1.4972467422485352","1.4972467422485352","28","28","28","1.4575112104415893","1.4575112104415893","1.4575112104415893","28","28","28","1.3967839002609252","1.3967839002609252","1.3967839002609252","57","57","57","1.3261795043945312","1.3261795043945312","1.3261795043945312","57","57","57","1.3288748264312744","1.3288748264312744","1.3288748264312744","57","57","57","1.3270328044891357","1.3270328044891357","1.3270328044891357"
"5800","29","29","29","1.4093987464904785","1.4093987464904785","1.4093987464904785","29","29","29","1.4386406660079956","1.4386406660079956","1.4386406660079956","29","29","29","1.422072958946228","1.422072958946228","1.422072958946228","59","59","59","1.2144968509674072","1.2144968509674072","1.2144968509674072","59","59","59","1.2131052017211914","1.2131052017211914","1.2131052017211914","59","59","59","1.2142508029937744","1.2142508029937744","1.2142508029937744"
"6000","30","30","30","1.4550400018692016","1.4550400018692016","1.4550400018692016","30","30","30","1.422931146621704","1.422931146621704","1.422931146621704","30","30","30","1.3544750213623047","1.3544750213623047","1.3544750213623047","61","61","61","1.2899023294448853","1.2899023294448853","1.2899023294448853","61","61","61","1.2856252193450928","1.2856252193450928","1.2856252193450928","61","61","61","1.2860562801361084","1.2860562801361084","1.2860562801361084"
"6200","31","31","31","1.4222872257232666","1.4222872257232666","1.4222872257232666","31","31","31","1.4333035230636597","1.4333035230636597","1.4333035230636597","31","31","31","1.369677972793579","1.369677972793579","1.369677972793579","63","63","63","1.2711362838745117","1.2711362838745117","1.2711362838745117","63","63","63","1.2673065662384033","1.2673065662384033","1.2673065662384033","63","63","63","1.2679591178894043","1.2679591178894043","1.2679591178894043"
"6400","32","32","32","1.367776918411255","1.367776918411255","1.367776918411255","32","32","32","1.4097418785095215","1.4097418785095215","1.4097418785095215","32","32","32","1.388799214363098","1.388799214363098","1.388799214363098","65","65","65","1.1995017528533936","1.1995017528533936","1.1995017528533936","65","65","65","1.1966396570205688","1.1966396570205688","1.1966396570205688","65","65","65","1.1957453489303589","1.1957453489303589","1.1957453489303589"
"6600","33","33","33","1.4041210412979126","1.4041210412979126","1.4041210412979126","33","33","33","1.4404961824417115","1.4404961824417115","1.4404961824417115","33","33","33","1.403079080581665","1.403079080581665","1.403079080581665","67","67","67","1.2252178192138672","1.2252178192138672","1.2252178192138672","67","67","67","1.2228779792785645","1.2228779792785645","1.2228779792785645","67","67","67","1.2235517501831055","1.2235517501831055","1.2235517501831055"
"6800","34","34","34","1.408873701095581","1.408873701095581","1.408873701095581","34","34","34","1.3833221435546874","1.3833221435546874","1.3833221435546874","34","34","34","1.41551673412323","1.41551673412323","1.41551673412323","69","69","69","1.202629804611206","1.202629804611206","1.202629804611206","69","69","69","1.1984670162200928","1.1984670162200928","1.1984670162200928","69","69","69","1.2005890607833862","1.2005890607833862","1.2005890607833862"
"7000","35","35","35","1.4812023162841796","1.4812023162841796","1.4812023162841796","35","35","35","1.396903157234192","1.396903157234192","1.396903157234192","35","35","35","1.3863493204116821","1.3863493204116821","1.3863493204116821","71","71","71","1.1264009475708008","1.1264009475708008","1.1264009475708008","71","71","71","1.121077299118042","1.121077299118042","1.121077299118042","71","71","71","1.1223301887512207","1.1223301887512207","1.1223301887512207"
"7200","36","36","36","1.3783419847488403","1.3783419847488403","1.3783419847488403","36","36","36","1.3485795497894286","1.3485795497894286","1.3485795497894286","36","36","36","1.3840382814407348","1.3840382814407348","1.3840382814407348","73","73","73","1.2240018844604492","1.2240018844604492","1.2240018844604492","73","73","73","1.2254512310028076","1.2254512310028076","1.2254512310028076","73","73","73","1.2248921394348145","1.2248921394348145","1.2248921394348145"
"7400","37","37","37","1.3718899488449097","1.3718899488449097","1.3718899488449097","37","37","37","1.4101058006286622","1.4101058006286622","1.4101058006286622","37","37","37","1.3514566898345948","1.3514566898345948","1.3514566898345948","75","75","75","1.245873212814331","1.245873212814331","1.245873212814331","75","75","75","1.2473121881484985","1.2473121881484985","1.2473121881484985","75","75","75","1.2460730075836182","1.2460730075836182","1.2460730075836182"
"7600","38","38","38","1.3864001274108886","1.3864001274108886","1.3864001274108886","38","38","38","1.4046743392944336","1.4046743392944336","1.4046743392944336","38","38","38","1.368895673751831","1.368895673751831","1.368895673751831","77","77","77","1.142648696899414","1.142648696899414","1.142648696899414","77","77","77","1.1362318992614746","1.1362318992614746","1.1362318992614746","77","77","77","1.1373218297958374","1.1373218297958374","1.1373218297958374"
"7800","39","39","39","1.36844801902771","1.36844801902771","1.36844801902771","39","39","39","1.353137493133545","1.353137493133545","1.353137493133545","39","39","39","1.4161171436309814","1.4161171436309814","1.4161171436309814","79","79","79","1.2276983261108398","1.2276983261108398","1.2276983261108398","79","79","79","1.2234728336334229","1.2234728336334229","1.2234728336334229","79","79","79","1.2228617668151855","1.2228617668151855","1.2228617668151855"
"8000","40","40","40","1.3992997646331786","1.3992997646331786","1.3992997646331786","40","40","40","1.43446946144104","1.43446946144104","1.43446946144104","40","40","40","1.3908859014511108","1.3908859014511108","1.3908859014511108","81","81","81","1.188706874847412","1.188706874847412","1.188706874847412","81","81","81","1.1890642642974854","1.1890642642974854","1.1890642642974854","81","81","81","1.1910127401351929","1.1910127401351929","1.1910127401351929"
"8200","41","41","41","1.3730961799621582","1.3730961799621582","1.3730961799621582","41","41","41","1.3653592348098755","1.3653592348098755","1.3653592348098755","41","41","41","1.3548574447631836","1.3548574447631836","1.3548574447631836","83","83","83","1.1968406438827515","1.1968406438827515","1.1968406438827515","83","83","83","1.193778395652771","1.193778395652771","1.193778395652771","83","83","83","1.1932697296142578","1.1932697296142578","1.1932697296142578"
"8400","42","42","42","1.3984205722808838","1.3984205722808838","1.3984205722808838","42","42","42","1.409310245513916","1.409310245513916","1.409310245513916","42","42","42","1.3240378141403197","1.3240378141403197","1.3240378141403197","85","85","85","1.1702239513397217","1.1702239513397217","1.1702239513397217","85","85","85","1.1673568487167358","1.1673568487167358","1.1673568487167358","85","85","85","1.1674481630325317","1.1674481630325317","1.1674481630325317"
"8497","","","","","","","","","","","","","","","","","","","87","87","87","1.2255239486694336","1.2255239486694336","1.2255239486694336","87","87","87","1.2218763828277588","1.2218763828277588","1.2218763828277588","87","87","87","1.2229480743408203","1.2229480743408203","1.2229480743408203"